label,target_mode,sample_weight_mode,top5_weight,top10_weight,rank_pct_floor,rank_floor_weight,rank_ic_mean,top5_mean_return_mean,cumulative_return_after_cost,sharpe_after_cost,max_drawdown_after_cost,avg_turnover,delta_cumulative_return_after_cost,delta_sharpe_after_cost,delta_top5_mean_return_mean,delta_rank_ic_mean
top5_14_top10_11,topk_weighted_rank,topk_head_weighted,1.4,1.1,0.9,1.2,0.018514900886335738,0.006665217095482403,0.952423555562919,3.453336689519705,-0.073873242564013,0.7534740659408922,0.016851936130454992,-0.17618859528979236,-0.0034534868678433644,0.006834877498878058
top5_14_top10_12,topk_weighted_rank,topk_head_weighted,1.4,1.2,0.9,1.2,0.018514900886335738,0.006665217095482403,0.952423555562919,3.453336689519705,-0.073873242564013,0.7534740659408922,0.016851936130454992,-0.17618859528979236,-0.0034534868678433644,0.006834877498878058
baseline_cross_section_rank,cross_section_rank,uniform,1.0,1.0,0.0,1.0,0.01168002338745768,0.010118703963325768,0.935571619432464,3.6295252848094974,-0.0428936280873258,0.7612811507926904,0.0,0.0,0.0,0.0
top5_14_top10_13,topk_weighted_rank,topk_head_weighted,1.4,1.3,0.9,1.3,0.01921829337910568,0.0055943617351732694,0.934785508332278,3.337676405639054,-0.0829661562633926,0.7442941494345877,-0.0007861111001860044,-0.29184887917044344,-0.004524342228152498,0.007538269991647998
top5_18_top10_13,topk_weighted_rank,topk_head_weighted,1.8,1.3,0.9,1.3,0.021831876440647945,0.004063481893767553,0.9243827639422976,3.389231097043845,-0.082919167483095,0.7454667341632931,-0.01118885549016646,-0.24029418776565237,-0.006055222069558215,0.010151853053190265
top5_16_top10_11,topk_weighted_rank,topk_head_weighted,1.6,1.1,0.9,1.2,0.020217196345620764,0.0053617335087358395,0.9136342590084824,3.390996709152166,-0.0755594302212536,0.7359579157105254,-0.021937360423981644,-0.2385285756573312,-0.004756970454589928,0.008537172958163084
top5_16_top10_12,topk_weighted_rank,topk_head_weighted,1.6,1.2,0.9,1.2,0.020217196345620764,0.0053617335087358395,0.9136342590084824,3.390996709152166,-0.0755594302212536,0.7359579157105254,-0.021937360423981644,-0.2385285756573312,-0.004756970454589928,0.008537172958163084
top5_18_top10_11,topk_weighted_rank,topk_head_weighted,1.8,1.1,0.9,1.2,0.02116090584331622,0.004562654882469228,0.898744313238494,3.346076872898439,-0.0828911221440149,0.7425716672192149,-0.03682730619397001,-0.2834484119110585,-0.00555604908085654,0.00948088245585854
top5_18_top10_12,topk_weighted_rank,topk_head_weighted,1.8,1.2,0.9,1.2,0.02116090584331622,0.004562654882469228,0.898744313238494,3.346076872898439,-0.0828911221440149,0.7425716672192149,-0.03682730619397001,-0.2834484119110585,-0.00555604908085654,0.00948088245585854
top5_16_top10_13,topk_weighted_rank,topk_head_weighted,1.6,1.3,0.9,1.3,0.020730910121908013,0.005485091206033382,0.8436934418029163,3.199262416146279,-0.0829385777875115,0.7453070595185893,-0.09187817762954775,-0.4302628686632186,-0.0046336127572923855,0.009050886734450333
