label,rerank_signal_column,rerank_signal_weight,score_self_case_slice,cumulative_return_after_cost,sharpe_after_cost,max_drawdown_after_cost,avg_turnover,delta_case_slice_score,delta_cumulative_return_after_cost,delta_sharpe_after_cost,delta_max_drawdown_after_cost
baseline,,0.0,-0.015835041565090434,0.935571619432464,3.6295252848094974,-0.0428936280873258,0.7612811507926904,0.0,0.0,0.0,0.0
signal_w005,trend_persistence_score_10d_v2,0.05,-0.020249779953845127,0.9973343456814904,3.7285175788597256,-0.0480549846173042,0.7704062177241511,-0.004414738388754693,0.061762726249026345,0.09899229405022814,-0.0051613565299784
signal_w010,trend_persistence_score_10d_v2,0.1,-0.020249779953845127,0.9051764660079824,3.7427142775088207,-0.051582044411923,0.7816085887552168,-0.004414738388754693,-0.030395153424481625,0.11318899269932325,-0.0086884163245972
signal_w015,trend_persistence_score_10d_v2,0.15,-0.020249779953845127,0.876581483180793,3.484513580295633,-0.0611555579421654,0.790735734608304,-0.004414738388754693,-0.058990136251671044,-0.14501170451386436,-0.018261929854839598
signal_w020,trend_persistence_score_10d_v2,0.2,-0.020249779953845127,0.7874934306582886,3.556974978326428,-0.0544754330399259,0.7846300404156861,-0.004414738388754693,-0.14807818877417545,-0.07255030648306926,-0.011581804952600097
