profile_name,prediction_source,weighting_scheme,sort_strategy,top_k,enable_risk_filters,allow_cash_fallback,max_volatility_20d_pct,max_volatility_5d_pct,turnover_rate_lower_pct,turnover_rate_upper_pct,turnover_ratio_upper_pct,risk_penalty_weight,transaction_cost,max_turnover,periods,cumulative_return_before_cost,cumulative_return_after_cost,mean_period_return_before_cost,mean_period_return_after_cost,return_volatility_before_cost,return_volatility_after_cost,max_drawdown_before_cost,max_drawdown_after_cost,sharpe_before_cost,sharpe_after_cost,win_rate_before_cost,win_rate_after_cost,avg_selected_count,avg_signal_count,avg_cash_weight,avg_turnover,avg_desired_turnover,avg_execution_strength,total_transaction_cost,primary_candidate_size,grid_index,is_current_default_profile,rank_after_cost,is_best_profile
grid_cs40_v2088_v588_tl2_th95_tr93_rp20_mt50,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.88,0.88,0.02,0.95,0.93,0.2,0.001,0.5,60,0.08899288255362259,0.05684465906622571,0.001445074537234485,0.0009450745372344849,0.006826870113748614,0.0068268701137486135,-0.03851661268716766,-0.04514280592494602,1.526406758603285,0.9982655730543203,0.5,0.4666666666666667,5.0,5.0,0.01769214843940227,0.5,1.6590656434924254,0.3089623416133204,0.03,40,98,False,181,False
grid_cs45_v2088_v590_tl2_th95_tr93_rp25_mt55,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.88,0.9,0.02,0.95,0.93,0.25,0.001,0.55,60,0.09222399927810798,0.05680958175343731,0.0014980129267491748,0.0009480129267491747,0.007324951202336498,0.007324951202336498,-0.044042834411256004,-0.04983419219765117,1.4747299386729509,0.9332783585251829,0.5,0.4666666666666667,5.0,5.0,0.013704504710745632,0.5499999999999999,1.629765345715443,0.34657382553662885,0.03300000000000001,45,222,False,182,False
grid_cs35_v2088_v590_tl2_th95_tr93_rp20_mt55,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.88,0.9,0.02,0.95,0.93,0.2,0.001,0.55,60,0.09198966394849872,0.056582616822334675,0.0014973865998787555,0.0009473865998787558,0.007717361992181109,0.007717361992181109,-0.04206461050089094,-0.049652092282781,1.3991579429669012,0.8852379782135734,0.5,0.4666666666666667,5.0,5.0,0.013953166385468214,0.5499999999999999,1.641008462658192,0.34461114196529263,0.03300000000000001,35,27,False,183,False
grid_cs35_v2088_v590_tl2_th95_tr95_rp20_mt50,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.88,0.9,0.02,0.95,0.95,0.2,0.001,0.5,60,0.08871053650243477,0.05657040354323706,0.0014441753871960127,0.0009441753871960127,0.007315779177000365,0.007315779177000365,-0.03675313816540349,-0.045391864770388146,1.423511640610588,0.9306658085768299,0.5166666666666667,0.45,5.0,5.0,0.017900222877688814,0.5,1.645643778956406,0.3119727659243167,0.030000000000000002,35,32,False,184,False
grid_cs40_v2088_v590_tl2_th95_tr95_rp20_mt55,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.88,0.9,0.02,0.95,0.95,0.2,0.001,0.55,60,0.0919744739191799,0.05656790346781415,0.0014974190499807423,0.0009474190499807421,0.007757017131114981,0.007757017131114981,-0.039592493901145276,-0.048798562371379806,1.3920353853301581,0.8807426634020957,0.5,0.45,5.0,5.0,0.013913984221694714,0.5499999999999999,1.63712228221679,0.3450338444850008,0.03300000000000001,40,129,False,185,False
grid_cs40_v2088_v590_tl2_th95_tr95_rp25_mt50,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.88,0.9,0.02,0.95,0.95,0.25,0.001,0.5,60,0.08866314870314818,0.05652452396163943,0.001439239927355531,0.0009392399273555309,0.006710493672147916,0.006710493672147914,-0.037486366796758874,-0.042760597322847094,1.5466085236958256,1.0093080728468926,0.5166666666666667,0.45,5.0,5.0,0.017532739440779863,0.5,1.6328259796571805,0.31404735980062726,0.030000000000000002,40,131,False,186,False
grid_cs35_v2088_v590_tl2_th95_tr93_rp25_mt55,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.88,0.9,0.02,0.95,0.93,0.25,0.001,0.55,60,0.09124443112238323,0.05586118103029092,0.001485154388423802,0.0009351543884238018,0.007609127698878241,0.007609127698878241,-0.0426175505157258,-0.0506917669917184,1.4074675866543283,0.8862374851283564,0.5,0.4666666666666667,5.0,5.0,0.013940904961496055,0.5499999999999999,1.6406407065424242,0.34420854669106654,0.03300000000000001,35,30,False,187,False
grid_cs40_v2090_v588_tl2_th95_tr93_rp25_mt55,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.9,0.88,0.02,0.95,0.93,0.25,0.001,0.55,60,0.09108668117752328,0.055708509820840524,0.0014813769472263548,0.0009313769472263547,0.007428010844585284,0.007428010844585285,-0.04181041037126143,-0.046977980719677404,1.4381186708709335,0.9041794392256917,0.48333333333333334,0.4666666666666667,5.0,5.0,0.01374934643929852,0.5499999999999999,1.6300572647363867,0.3462093319929122,0.03300000000000001,40,150,False,188,False
grid_cs45_v2088_v588_tl2_th95_tr93_rp25_mt45,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.88,0.88,0.02,0.95,0.93,0.25,0.001,0.45,60,0.0845533434056136,0.05569380272922375,0.001372121207120035,0.0009221212071200355,0.006082323136294287,0.006082323136294287,-0.03754490548041467,-0.04127894332089255,1.626764398261481,1.093251778954209,0.5,0.45,5.0,5.0,0.022713505310967948,0.45,1.659236573816364,0.2776734564416879,0.026999999999999996,45,196,False,189,False
grid_cs35_v2088_v588_tl2_th95_tr93_rp20_mt45,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.88,0.88,0.02,0.95,0.93,0.2,0.001,0.45,60,0.08424312219158447,0.05539165148795622,0.001369071033285812,0.0009190710332858119,0.006359306240266272,0.006359306240266272,-0.035741755481665916,-0.041153871372582085,1.5524510453699347,1.04217586356304,0.5,0.45,5.0,5.0,0.022572783706156133,0.45,1.6680639015574112,0.2765427850911841,0.026999999999999996,35,1,False,190,False
