profile_name,date,regime,is_high_volatility_range,active_config,selected_count,gross_return,transaction_cost,net_return,turnover,desired_turnover,execution_strength,net_value_before_cost,net_value_after_cost,selected_stock_ids,selected_weights,selected_target_returns,filter_after_risk_filters,drawdown_after_cost
aggressive_static,2025-11-26,normal_or_low_volatility,0,aggressive,5,0.009310462045367274,0.001,0.008310462045367274,1.0,1.0,1.0,1.0093104620453672,1.0083104620453673,"000001,000895,600000,600938,300803","0.203149,0.204549,0.200283,0.197411,0.194608","-0.001715,0.020030,0.000000,0.028336,-0.000164",150,0.0
aggressive_static,2025-11-27,normal_or_low_volatility,0,aggressive,5,0.0016828031512358997,0.001,0.0006828031512358997,1.0,1.6107846630632607,0.6208154466148693,1.0110089328714726,1.008998939606276,"300803,600415,600048,688082,601728","0.197854,0.125920,0.124173,0.122671,0.123989","-0.001832,0.022054,-0.042963,0.013635,0.023634",151,0.0
aggressive_static,2025-11-28,normal_or_low_volatility,0,aggressive,5,-0.006258933166018517,0.001,-0.007258933166018517,1.0,1.6058889688513245,0.6227080572795076,1.0046810955303824,1.0016746837390904,"688012,300347,300803,600050,600196","0.124019,0.126287,0.197357,0.126012,0.123681","0.018676,-0.041569,-0.007689,-0.011091,-0.003319",147,-0.007258933166018555
aggressive_static,2025-12-01,normal_or_low_volatility,0,aggressive,5,0.02203367719884687,0.001,0.02103367719884687,1.0,1.014817317495754,0.98539902971668,1.0268179144770828,1.0227435856951155,"300408,688012,688082,300803,300347","0.195150,0.203927,0.194080,0.196022,0.203433","0.014282,0.042137,0.008698,0.064602,-0.018178",153,0.0
aggressive_static,2025-12-02,normal_or_low_volatility,0,aggressive,5,0.03618093450039141,0.00041741978639433326,0.03576351471399707,0.41741978639433325,0.41741978639433325,1.0,1.0639691461846066,1.0593204909707687,"300347,688012,300803,300408,002074","0.197985,0.202134,0.200592,0.197557,0.201732","0.012695,0.045554,0.056777,0.058503,0.007499",151,0.0
aggressive_static,2025-12-03,normal_or_low_volatility,0,aggressive,5,0.026891444007765032,0.0007970373297838927,0.02609440667798114,0.7970373297838926,0.7970373297838926,1.0,1.0925808129052195,1.0869628306644785,"002459,300803,688012,600515,002074","0.201000,0.201423,0.199157,0.195983,0.202437","0.000000,0.056218,0.062720,-0.016461,0.031135",155,0.0
aggressive_static,2025-12-04,normal_or_low_volatility,0,aggressive,5,0.027785177925561517,0.0008129359591169993,0.02697224196644452,0.8129359591169993,0.8129359591169993,1.0,1.1229383651898457,1.1162806551416922,"600515,300803,002493,002074,600547","0.203511,0.198195,0.204986,0.199353,0.193954","0.081250,0.053582,-0.016649,0.022199,-0.001971",152,0.0
aggressive_static,2025-12-05,normal_or_low_volatility,0,aggressive,5,-0.008886269185361782,0.001,-0.009886269185361781,1.0,1.2027970228350153,0.8313954732303719,1.1129596325981987,1.1052448040985494,"002916,600515,601298,601838,002493","0.166325,0.202428,0.167130,0.166545,0.197842","0.015684,0.018634,-0.003472,-0.028909,-0.049898",160,-0.009886269185361729
aggressive_static,2025-12-08,normal_or_low_volatility,0,aggressive,5,-0.0016880337855784992,0.0009999999999999998,-0.002688033785578499,0.9999999999999999,1.276739779224322,0.7832449621077412,1.111080919136388,1.1022738687237974,"600938,601298,600027,600741,002493","0.157031,0.196130,0.156486,0.157482,0.195225","0.003180,0.012821,0.009634,0.008101,-0.038342",162,-0.012547728345356668
aggressive_static,2025-12-09,normal_or_low_volatility,0,aggressive,5,0.011761245188961695,0.000665740235173323,0.011095504953788372,0.665740235173323,0.665740235173323,1.0,1.1241486142511279,1.1145041538946538,"000333,600938,600027,600741,601298","0.199852,0.199583,0.199383,0.200781,0.200400","0.003376,-0.000709,0.017308,0.018936,0.019837",165,-0.0015914467735829163
aggressive_static,2025-12-10,normal_or_low_volatility,0,aggressive,5,-0.010126696575183749,0.001,-0.01112669657518375,1.0,1.201936468243613,0.8319907303098122,1.1127647023291936,1.1021034043424862,"600027,601059,002236,600741,601995","0.200531,0.168301,0.162531,0.199839,0.168021","-0.003824,0.000000,-0.045789,-0.009596,0.000000",161,-0.012700435803401411
