label,primary_candidate_size,max_volatility_20d_pct,max_volatility_5d_pct,secondary_candidate_size,score_self_case_slice,cumulative_return_after_cost,sharpe_after_cost,max_drawdown_after_cost,avg_turnover,delta_case_slice_score,delta_cumulative_return_after_cost,delta_sharpe_after_cost,delta_max_drawdown_after_cost
baseline,40,0.86,0.96,0,-0.015835041565090434,0.935571619432464,3.6295252848094974,-0.0428936280873258,0.7612811507926904,0.0,0.0,0.0,0.0
cs35_v2084_v595_ss0,35,0.84,0.95,0,-0.020249779953845127,0.9318007493820012,3.661916112067285,-0.0493978423515261,0.7763882948049292,-0.004414738388754693,-0.003770870050462838,0.032390827257787524,-0.006504214264200295
cs35_v2084_v595_ss15,35,0.84,0.95,15,-0.020249779953845127,0.9318007493820012,3.661916112067285,-0.0493978423515261,0.7763882948049292,-0.004414738388754693,-0.003770870050462838,0.032390827257787524,-0.006504214264200295
cs35_v2084_v595_ss20,35,0.84,0.95,20,-0.020249779953845127,0.9318007493820012,3.661916112067285,-0.0493978423515261,0.7763882948049292,-0.004414738388754693,-0.003770870050462838,0.032390827257787524,-0.006504214264200295
cs35_v2084_v596_ss0,35,0.84,0.96,0,-0.020249779953845127,0.9318007493820012,3.661916112067285,-0.0493978423515261,0.7763882948049292,-0.004414738388754693,-0.003770870050462838,0.032390827257787524,-0.006504214264200295
cs35_v2084_v596_ss15,35,0.84,0.96,15,-0.020249779953845127,0.9318007493820012,3.661916112067285,-0.0493978423515261,0.7763882948049292,-0.004414738388754693,-0.003770870050462838,0.032390827257787524,-0.006504214264200295
cs35_v2084_v596_ss20,35,0.84,0.96,20,-0.020249779953845127,0.9318007493820012,3.661916112067285,-0.0493978423515261,0.7763882948049292,-0.004414738388754693,-0.003770870050462838,0.032390827257787524,-0.006504214264200295
cs35_v2084_v597_ss0,35,0.84,0.97,0,-0.020249779953845127,0.9318007493820012,3.661916112067285,-0.0493978423515261,0.7763882948049292,-0.004414738388754693,-0.003770870050462838,0.032390827257787524,-0.006504214264200295
cs35_v2084_v597_ss15,35,0.84,0.97,15,-0.020249779953845127,0.9318007493820012,3.661916112067285,-0.0493978423515261,0.7763882948049292,-0.004414738388754693,-0.003770870050462838,0.032390827257787524,-0.006504214264200295
cs35_v2084_v597_ss20,35,0.84,0.97,20,-0.020249779953845127,0.9318007493820012,3.661916112067285,-0.0493978423515261,0.7763882948049292,-0.004414738388754693,-0.003770870050462838,0.032390827257787524,-0.006504214264200295
cs35_v2086_v595_ss0,35,0.86,0.95,0,-0.020249779953845127,0.9112894438526014,3.5703726544436947,-0.0428936280873257,0.7559678331683515,-0.004414738388754693,-0.024282175579862675,-0.05915263036580276,1.0408340855860843e-16
cs35_v2086_v595_ss15,35,0.86,0.95,15,-0.020249779953845127,0.9112894438526014,3.5703726544436947,-0.0428936280873257,0.7559678331683515,-0.004414738388754693,-0.024282175579862675,-0.05915263036580276,1.0408340855860843e-16
cs35_v2086_v595_ss20,35,0.86,0.95,20,-0.020249779953845127,0.9112894438526014,3.5703726544436947,-0.0428936280873257,0.7559678331683515,-0.004414738388754693,-0.024282175579862675,-0.05915263036580276,1.0408340855860843e-16
cs35_v2086_v596_ss0,35,0.86,0.96,0,-0.020249779953845127,0.9112894438526014,3.5703726544436947,-0.0428936280873257,0.7559678331683515,-0.004414738388754693,-0.024282175579862675,-0.05915263036580276,1.0408340855860843e-16
cs35_v2086_v596_ss15,35,0.86,0.96,15,-0.020249779953845127,0.9112894438526014,3.5703726544436947,-0.0428936280873257,0.7559678331683515,-0.004414738388754693,-0.024282175579862675,-0.05915263036580276,1.0408340855860843e-16
cs35_v2086_v596_ss20,35,0.86,0.96,20,-0.020249779953845127,0.9112894438526014,3.5703726544436947,-0.0428936280873257,0.7559678331683515,-0.004414738388754693,-0.024282175579862675,-0.05915263036580276,1.0408340855860843e-16
cs35_v2086_v597_ss0,35,0.86,0.97,0,-0.020249779953845127,0.9112894438526014,3.5703726544436947,-0.0428936280873257,0.7559678331683515,-0.004414738388754693,-0.024282175579862675,-0.05915263036580276,1.0408340855860843e-16
cs35_v2086_v597_ss15,35,0.86,0.97,15,-0.020249779953845127,0.9112894438526014,3.5703726544436947,-0.0428936280873257,0.7559678331683515,-0.004414738388754693,-0.024282175579862675,-0.05915263036580276,1.0408340855860843e-16
cs35_v2086_v597_ss20,35,0.86,0.97,20,-0.020249779953845127,0.9112894438526014,3.5703726544436947,-0.0428936280873257,0.7559678331683515,-0.004414738388754693,-0.024282175579862675,-0.05915263036580276,1.0408340855860843e-16
cs35_v2088_v595_ss0,35,0.88,0.95,0,-0.05253897310189442,0.8065881815522435,3.1051806320675097,-0.0588211571690289,0.7275863319337653,-0.036703931536803985,-0.1289834378802205,-0.5243446527419877,-0.0159275290817031
cs35_v2088_v595_ss15,35,0.88,0.95,15,-0.05253897310189442,0.8065881815522435,3.1051806320675097,-0.0588211571690289,0.7275863319337653,-0.036703931536803985,-0.1289834378802205,-0.5243446527419877,-0.0159275290817031
cs35_v2088_v595_ss20,35,0.88,0.95,20,-0.05253897310189442,0.8065881815522435,3.1051806320675097,-0.0588211571690289,0.7275863319337653,-0.036703931536803985,-0.1289834378802205,-0.5243446527419877,-0.0159275290817031
cs35_v2088_v596_ss0,35,0.88,0.96,0,-0.05253897310189442,0.8065881815522435,3.1051806320675097,-0.0588211571690289,0.7275863319337653,-0.036703931536803985,-0.1289834378802205,-0.5243446527419877,-0.0159275290817031
cs35_v2088_v596_ss15,35,0.88,0.96,15,-0.05253897310189442,0.8065881815522435,3.1051806320675097,-0.0588211571690289,0.7275863319337653,-0.036703931536803985,-0.1289834378802205,-0.5243446527419877,-0.0159275290817031
cs35_v2088_v596_ss20,35,0.88,0.96,20,-0.05253897310189442,0.8065881815522435,3.1051806320675097,-0.0588211571690289,0.7275863319337653,-0.036703931536803985,-0.1289834378802205,-0.5243446527419877,-0.0159275290817031
cs35_v2088_v597_ss0,35,0.88,0.97,0,-0.05253897310189442,0.8065881815522435,3.1051806320675097,-0.0588211571690289,0.7275863319337653,-0.036703931536803985,-0.1289834378802205,-0.5243446527419877,-0.0159275290817031
