profile_name,prediction_source,weighting_scheme,sort_strategy,top_k,enable_risk_filters,allow_cash_fallback,max_volatility_20d_pct,max_volatility_5d_pct,turnover_rate_lower_pct,turnover_rate_upper_pct,turnover_ratio_upper_pct,risk_penalty_weight,transaction_cost,max_turnover,periods,cumulative_return_before_cost,cumulative_return_after_cost,mean_period_return_before_cost,mean_period_return_after_cost,return_volatility_before_cost,return_volatility_after_cost,max_drawdown_before_cost,max_drawdown_after_cost,sharpe_before_cost,sharpe_after_cost,win_rate_before_cost,win_rate_after_cost,avg_selected_count,avg_signal_count,avg_cash_weight,avg_turnover,avg_desired_turnover,avg_execution_strength,total_transaction_cost,primary_candidate_size,grid_index,is_current_default_profile,rank_after_cost,is_best_profile
refined_cs50_v2086_v592_tr95_rp18_mt60,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.86,0.92,0.03,0.97,0.95,0.18,0.001,0.6,60,0.18435300428399204,0.14257697742035513,0.0028534360434145385,0.0022534360434145243,0.007717896297285407,0.00771789629728542,-0.023135114421418357,-0.030278245742901833,2.6660658732631193,2.1054647244657816,0.5666666666666667,0.5,5.0,5.0,0.006706126151463132,0.6000000000000144,1.6227529106279759,0.38619857437117866,0.036000000000000865,50,548,False,1,True
refined_cs50_v2086_v592_tr93_rp18_mt60,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.86,0.92,0.03,0.97,0.93,0.18,0.001,0.6,60,0.18276291094392993,0.14104211007421097,0.002829572340062468,0.002229572340062457,0.007526975090780501,0.007526975090780495,-0.024893024754701454,-0.029578454464732618,2.710828197698195,2.136007439242861,0.5666666666666667,0.5166666666666667,5.0,5.0,0.006706231023755447,0.600000000000011,1.6327694009577904,0.3833224633511833,0.036000000000000656,50,547,False,2,False
refined_cs50_v2086_v590_tr95_rp18_mt60,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.86,0.9,0.03,0.97,0.95,0.18,0.001,0.6,60,0.18206736609759622,0.14037063853969656,0.0028212448095010422,0.002221244809501028,0.007730350328636041,0.007730350328636053,-0.023135114421418357,-0.030278166480350532,2.631741742314397,2.0720437536567053,0.5666666666666667,0.5,5.0,5.0,0.006706126150899218,0.600000000000014,1.6208784432744954,0.38651310388339755,0.036000000000000844,50,521,False,3,False
refined_cs50_v2086_v590_tr93_rp18_mt60,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.86,0.9,0.03,0.97,0.93,0.18,0.001,0.6,60,0.18044138830551826,0.13880113385512116,0.0027968210770050283,0.002196821077005017,0.00753847169506865,0.007538471695068644,-0.024893024754701454,-0.029578454464732618,2.6753650366656228,2.1014209130328205,0.5666666666666667,0.5166666666666667,5.0,5.0,0.006706231023073354,0.6000000000000106,1.6309284400371094,0.38362587511125507,0.03600000000000064,50,520,False,4,False
refined_cs45_v2086_v592_tr95_rp20_mt60,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.86,0.92,0.03,0.97,0.95,0.2,0.001,0.6,60,0.18043987464298183,0.1387995903223489,0.0027988585568768597,0.0021988585568768456,0.007812846852652123,0.007812846852652136,-0.023272912849817473,-0.03023249544844009,2.583290887409385,2.0295027981051383,0.5666666666666667,0.5,5.0,5.0,0.0067406920033120194,0.600000000000015,1.6244896763769117,0.38560109613879484,0.03600000000000089,45,314,False,5,False
refined_cs45_v2086_v592_tr93_rp22_mt60,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.86,0.92,0.03,0.97,0.93,0.22,0.001,0.6,60,0.1803458972870613,0.13870894840399184,0.0027956574347233207,0.0021956574347233096,0.007563325291703855,0.007563325291703849,-0.02462131729588246,-0.029307890377152646,2.665464155186765,2.0934060506249086,0.5833333333333334,0.5166666666666667,5.0,5.0,0.0067409414770731165,0.600000000000011,1.6328599625193614,0.38302837622215374,0.03600000000000066,45,322,False,6,False
refined_cs50_v2086_v590_tr97_rp18_mt60,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.86,0.9,0.03,0.97,0.97,0.18,0.001,0.6,60,0.17993096983318835,0.13830843672481974,0.002789337576479855,0.0021893375764798022,0.007506397512445255,0.0075063975124452275,-0.02375046518898838,-0.026780560545567544,2.6796075320824335,2.1032109952105573,0.6,0.5166666666666667,5.0,5.0,0.006705542207779064,0.6000000000000525,1.5956039288962285,0.39303048276254265,0.036000000000003154,50,522,False,7,False
refined_cs45_v2086_v592_tr93_rp20_mt60,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.86,0.92,0.03,0.97,0.93,0.2,0.001,0.6,60,0.17900407698137033,0.1374136663016967,0.0027771435739940655,0.002177143573994054,0.007628893469362828,0.007628893469362822,-0.025060409588972155,-0.029745135848478155,2.6250552837244507,2.0579138564738977,0.5666666666666667,0.5166666666666667,5.0,5.0,0.006740888295732034,0.6000000000000113,1.6344528731631665,0.3827394978463704,0.03600000000000068,45,313,False,8,False
refined_cs45_v2086_v590_tr95_rp20_mt60,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.86,0.9,0.03,0.97,0.95,0.2,0.001,0.6,60,0.178141593863274,0.13658105216576866,0.0027663762200550567,0.0021663762200550417,0.00782433029926739,0.007824330299267402,-0.023272912849817473,-0.03023218842508324,2.5495629471487615,1.9965876297644694,0.5666666666666667,0.5,5.0,5.0,0.006740692001830089,0.6000000000000145,1.6226597566410998,0.38590999793163866,0.03600000000000087,45,287,False,9,False
refined_cs45_v2086_v590_tr93_rp22_mt60,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.86,0.9,0.03,0.97,0.93,0.22,0.001,0.6,60,0.17798458168734776,0.13642956286685837,0.0027622718647119554,0.002162271864711944,0.0075742968509849,0.007574296850984895,-0.02462131729588246,-0.029307890377152646,2.6298184612860607,2.0585889972607294,0.5833333333333334,0.5166666666666667,5.0,5.0,0.006740941478056413,0.6000000000000107,1.6310832324555251,0.3833166155706442,0.03600000000000064,45,295,False,10,False
