stage_id,stage_name,sample_days,prediction_rows,rank_ic,top5_mean_return,backtest_return,avg_turnover,max_drawdown,win_rate,avg_market_volatility_20d,avg_trend_strength,stage_description
low_volatility,低波动,40,12000,0.0427269046347674,0.009631665970629456,0.5686718788421476,0.967328332761938,-0.03420334327327146,0.675,0.017702727439500212,0.21458677777777774,20日波动率低于样本中位数的交易日。
high_volatility,高波动,20,6000,-0.0015075476364599355,0.003244139174538214,0.3841302679451424,0.9353575450442063,-0.0900673064031069,0.8,0.022802931994138097,0.2193577777777777,20日波动率高于或等于样本中位数的交易日。
trend,趋势,31,9300,0.039054125425195235,0.014350658899511096,0.4442402536428931,0.9523757189975852,-0.09006730640310667,0.7096774193548387,0.01964704318428735,0.2336921863799283,趋势强度高于或等于样本中位数的交易日。
range,震荡,29,8700,0.016146460154498103,0.00018203435969305477,0.5033829880472658,0.9612633421529828,-0.03320325662865298,0.7241379310344828,0.01914170340516768,0.19745409961685817,趋势强度低于样本中位数的交易日。
high_volatility_range,高波动震荡,8,2400,-0.007992111001489319,-0.00638381352509732,0.25842789116867193,0.9324021420052709,0.0,1.0,0.023548792586901908,0.18806499999999998,同时处于高波动与震荡状态的交易日，是最需要解释边界的复合状态。
