阶段名,样本天数,样本行数,RankIC,Top5平均收益,回测收益,胜率,平均换手,结论
低波动,40,12000,0.0427269046347674,0.009631665970629456,0.5686718788421476,0.675,0.967328332761938,阶段内排序与收益转化都较强，可视为主线优势区间。 对应样本的平均20日波动率为 0.0177。
高波动,20,6000,-0.0015075476364599355,0.003244139174538214,0.3841302679451424,0.8,0.9353575450442063,阶段内存在一定预测能力，但组合收益转化偏弱，需要结合执行与筛选约束继续看。 对应样本的平均20日波动率为 0.0228。
趋势,31,9300,0.039054125425195235,0.014350658899511096,0.4442402536428931,0.7096774193548387,0.9523757189975852,阶段内排序与收益转化都较强，可视为主线优势区间。 对应样本的平均趋势强度为 0.2337。
震荡,29,8700,0.016146460154498103,0.00018203435969305477,0.5033829880472658,0.7241379310344828,0.9612633421529828,阶段内仍能保持正向有效，但优势不如最强阶段稳定。 对应样本的平均趋势强度为 0.1975。
低波动-趋势,19,5700,0.06194168173149139,0.017311428115436903,0.3130788761891057,0.7368421052631579,0.9618796591622726,阶段内排序与收益转化都较强，可视为主线优势区间。 平均20日波动率 0.0180， 平均趋势强度 0.2296。
低波动-震荡,21,6300,0.025342106309159975,0.0026833097443751015,0.19465167499673774,0.6190476190476191,0.9722580850663969,阶段内仍能保持正向有效，但优势不如最强阶段稳定。 平均20日波动率 0.0175， 平均趋势强度 0.2010。
高波动-趋势,12,3600,0.002815494606892987,0.009662774307628567,0.09988842241865248,0.6666666666666666,0.93732781373683,阶段内仍能保持正向有效，但优势不如最强阶段稳定。 平均20日波动率 0.0223， 平均趋势强度 0.2402。
高波动-震荡,8,2400,-0.007992111001489319,-0.00638381352509732,0.25842789116867193,1.0,0.9324021420052709,阶段内存在一定预测能力，但组合收益转化偏弱，需要结合执行与筛选约束继续看。 平均20日波动率 0.0235， 平均趋势强度 0.1881。
