阶段名,样本天数,样本行数,RankIC,Top5平均收益,回测收益,胜率,平均换手,结论
Fold 1,20,6000,-0.033492236853097226,0.004074555502322908,0.0992870089282527,0.55,0.9346566655234273,阶段内存在一定预测能力，但组合收益转化偏弱，需要结合执行与筛选约束继续看。 平均20日波动率为 0.0175，趋势强度为 0.2097。
Fold 2,20,6000,0.11894604612263202,0.015188776438936003,0.42699028197515143,0.8,1.0000000000004483,阶段内排序与收益转化都较强，可视为主线优势区间。 平均20日波动率为 0.0179，趋势强度为 0.2194。
Fold 3,20,6000,-0.0015075476364599355,0.003244139174538214,0.3841302679451424,0.8,0.9353575450442063,阶段内存在一定预测能力，但组合收益转化偏弱，需要结合执行与筛选约束继续看。 平均20日波动率为 0.0228，趋势强度为 0.2194。
