regime,sample_days,rank_ic,top5_return,cost_after_return,sharpe,max_drawdown,win_rate,avg_turnover,negative_rankic_ratio
all,60,0.02798208721102495,0.007502490371932375,1.085936213182149,4.27247198814104,-0.08706424521069267,0.7166666666666667,0.9311367941484036,0.4
low_volatility,40,0.0427269046347674,0.009631665970629456,0.5337357405890708,3.6992334461124834,-0.034509675630405745,0.675,0.9507569444448449,0.375
high_volatility,20,-0.0015075476364599355,0.003244139174538214,0.36003625525541416,2.443751181887696,-0.08706424521069256,0.8,0.89189649355552,0.45
trend,11,0.04250900102298949,0.005023910250708628,0.029407207589305262,0.49201014387916997,-0.05304223459590118,0.5454545454545454,0.9946443029167601,0.45454545454545453
range,49,0.02472094329405332,0.008058906317513216,1.026347006125063,4.492538509469205,-0.03938562248077804,0.7551020408163265,0.916880006465711,0.3877551020408163
high_volatility_range,18,0.006711052792837343,0.005478602399129183,0.4362163814930453,3.277311590339714,-0.039385622480777815,0.8888888888888888,0.8831579188352505,0.3888888888888889
low_volatility_trend,9,0.06872765713923949,0.009888341383483993,0.0870677079774751,1.9907590272268882,-0.016131696482637015,0.6666666666666666,1.0000000000009406,0.3333333333333333
