fold_id,case_type,feature,sample_count,case_mean,case_median,fold_mean,fold_median,fold_std,z_gap_vs_fold
1,missed_winners,ret_1d,98,0.004332992267834017,0.002917556729447,0.000968199733805365,0.0,0.01865252908203786,0.18039336752831567
1,false_positives,ret_1d,98,-0.004539192951071208,-0.0040337086832939,0.000968199733805365,0.0,0.01865252908203786,-0.29526251698382927
1,missed_winners,ret_3d,98,0.013768880712575073,0.0079254702609873,0.0035550004466696895,0.000470444201977,0.0307500287862617,0.33215839688802745
1,false_positives,ret_3d,98,-0.009904960440732722,-0.004658830217677001,0.0035550004466696895,0.000470444201977,0.0307500287862617,-0.4377218955130204
1,missed_winners,ret_5d,98,0.016492123494834574,0.0056785342000221,0.002934336113794348,0.0,0.040013346510091044,0.33883162903210456
1,false_positives,ret_5d,98,-0.012149542018408593,-0.0015374752546217,0.002934336113794348,0.0,0.040013346510091044,-0.3769711720662732
1,missed_winners,intraday_return,98,0.0031233307296549976,0.0029650666076005,0.0012729869676478159,0.0,0.017067946732535158,0.1084104486030549
1,false_positives,intraday_return,98,-0.004221102932946768,-0.0036137270727018,0.0012729869676478159,0.0,0.017067946732535158,-0.3218951867316104
1,missed_winners,volume_ratio_5d,98,0.005282621672167902,-0.0412683167888053,-0.008088639414706899,-0.065677374898549,0.3093804956639302,0.04321947011617552
1,false_positives,volume_ratio_5d,98,-0.08973340197703432,-0.0845548886648245,-0.008088639414706899,-0.065677374898549,0.3093804956639302,-0.2638975750139576
1,missed_winners,turnover_rate,98,2.132692857142857,1.51795,1.13744445,0.6959,1.3190088958049273,0.7545426041539357
1,false_positives,turnover_rate,98,2.5035510204081635,1.0941,1.13744445,0.6959,1.3190088958049273,1.0357068665367073
1,missed_winners,turnover_spike_5d,98,1.0052856537644987,0.9587301596061757,0.9915917637017883,0.9338944624710255,0.30967517241151327,0.0442201741782299
1,false_positives,turnover_spike_5d,98,0.9098082370355305,0.915494530483797,0.9915917637017883,0.9338944624710255,0.30967517241151327,-0.2640945543983725
1,missed_winners,volatility_5d,98,0.02574799812210171,0.0230577646976615,0.016092614429510644,0.0134700510572558,0.010976278237101506,0.8796591598739165
1,false_positives,volatility_5d,98,0.015628515715484573,0.01095387708257895,0.016092614429510644,0.0134700510572558,0.010976278237101506,-0.04228197427223971
1,missed_winners,volatility_20d,98,0.027321725278040172,0.027896918373451852,0.017506072221953405,0.01505210498146655,0.009561983035148804,1.0265290180923248
1,false_positives,volatility_20d,98,0.025377253436012104,0.014175260191517502,0.017506072221953405,0.01505210498146655,0.009561983035148804,0.8231745638038781
1,missed_winners,rel_hs300_mean_ret_5d,98,0.013523888522673768,0.00315751504139565,4.292862361883939e-18,-0.00374936219734685,0.038377561558239556,0.3523905108496979
1,false_positives,rel_hs300_mean_ret_5d,98,-0.015117776990569393,-0.0071303400014938005,4.292862361883939e-18,-0.00374936219734685,0.038377561558239556,-0.39392229148346325
