fold_id,case_type,feature,sample_count,case_mean,case_median,fold_mean,fold_std,z_gap_vs_fold
1,pred_top5_not_true_top5,ret_1d,98,-0.004539192951071208,-0.0040337086832939,0.0009681997338053652,0.01865252908203787,-0.2952625169838291
1,top5_overlap,ret_1d,2,-0.022793003718496,-0.022793003718496,0.0009681997338053652,0.01865252908203787,-1.2738864176431217
1,true_top5_missed,ret_1d,98,0.004332992267834017,0.002917556729447,0.0009681997338053652,0.01865252908203787,0.18039336752831553
1,pred_top5_not_true_top5,ret_3d,98,-0.009904960440732722,-0.004658830217677001,0.0035550004466696895,0.030750028786261745,-0.4377218955130197
1,top5_overlap,ret_3d,2,-0.04142403388035995,-0.04142403388035995,0.0035550004466696895,0.030750028786261745,-1.4627314543238743
1,true_top5_missed,ret_3d,98,0.013768880712575073,0.0079254702609873,0.0035550004466696895,0.030750028786261745,0.33215839688802695
1,pred_top5_not_true_top5,intraday_return,98,-0.004221102932946768,-0.0036137270727018,0.0012729869676478159,0.01706794673253514,-0.3218951867316107
1,top5_overlap,intraday_return,2,-0.0210780926053905,-0.0210780926053905,0.0012729869676478159,0.01706794673253514,-1.3095353485274477
1,true_top5_missed,intraday_return,98,0.0031233307296549976,0.0029650666076005,0.0012729869676478159,0.01706794673253514,0.10841044860305502
1,pred_top5_not_true_top5,volume_ratio_5d,98,-0.08973340197703432,-0.0845548886648245,-0.008088639414706899,0.30938049566393067,-0.2638975750139572
1,top5_overlap,volume_ratio_5d,2,0.20531189693600105,0.20531189693600105,-0.008088639414706899,0.30938049566393067,0.6897672585750769
1,true_top5_missed,volume_ratio_5d,98,0.005282621672167902,-0.0412683167888053,-0.008088639414706899,0.30938049566393067,0.043219470116175454
1,pred_top5_not_true_top5,volume_ratio_10d,98,-0.16722338105172538,-0.1830495158444942,-0.008572148478377102,0.38721926935105677,-0.40971936349973725
1,top5_overlap,volume_ratio_10d,2,0.1509617499413901,0.1509617499413901,-0.008572148478377102,0.38721926935105677,0.41199886226512195
1,true_top5_missed,volume_ratio_10d,98,0.017539183001165894,-0.0460854383976842,-0.008572148478377102,0.38721926935105677,0.067432934118447
1,pred_top5_not_true_top5,turnover_spike_5d,98,0.9098082370355305,0.915494530483797,0.9915917637017885,0.3096751724115123,-0.264094554398374
1,top5_overlap,turnover_spike_5d,2,1.205317823015044,1.205317823015044,0.9915917637017885,0.3096751724115123,0.6901620741789575
1,true_top5_missed,turnover_spike_5d,98,1.0052856537644987,0.9587301596061757,0.9915917637017885,0.3096751724115123,0.044220174178229314
1,pred_top5_not_true_top5,turnover_rate,98,2.5035510204081635,1.0941,1.13744445,1.3190088958049289,1.035706866536706
1,top5_overlap,turnover_rate,2,2.8061499999999997,2.8061499999999997,1.13744445,1.3190088958049289,1.265120770077648
1,true_top5_missed,turnover_rate,98,2.132692857142857,1.51795,1.13744445,1.3190088958049289,0.7545426041539348
1,pred_top5_not_true_top5,turnover_ratio_5d,98,-0.09019176296320448,-0.08450546951327664,-0.008408236296263886,0.30967517241199244,-0.2640945544001688
1,top5_overlap,turnover_ratio_5d,2,0.2053178230162026,0.2053178230162026,-0.008408236296263886,0.30967517241199244,0.6901620741753393
1,true_top5_missed,turnover_ratio_5d,98,0.005285653765474614,-0.041269840392982496,-0.008408236296263886,0.30967517241199244,0.04422017417502273
1,pred_top5_not_true_top5,turnover_ratio_10d,98,-0.1681207458318527,-0.18301388009518743,-0.009066248646141651,0.3874173528055913,-0.4105507820800317
1,top5_overlap,turnover_ratio_10d,2,0.1509685731376248,0.1509685731376248,-0.009066248646141651,0.3874173528055913,0.4130811917040614
1,true_top5_missed,turnover_ratio_10d,98,0.01666966599190209,-0.046102586791920544,-0.009066248646141651,0.3874173528055913,0.06642943185603305
1,pred_top5_not_true_top5,volatility_5d,98,0.015628515715484573,0.01095387708257895,0.016092614429510644,0.010976278237101504,-0.04228197427223972
1,top5_overlap,volatility_5d,2,0.0133619606120502,0.0133619606120502,0.016092614429510644,0.010976278237101504,-0.24877775129919863
1,true_top5_missed,volatility_5d,98,0.02574799812210171,0.0230577646976615,0.016092614429510644,0.010976278237101504,0.8796591598739166
1,pred_top5_not_true_top5,volatility_20d,98,0.025377253436012104,0.014175260191517502,0.017506072221953405,0.009561983035148817,0.823174563803877
1,top5_overlap,volatility_20d,2,0.02109687448392385,0.02109687448392385,0.017506072221953405,0.009561983035148817,0.3755290350098975
1,true_top5_missed,volatility_20d,98,0.027321725278040172,0.027896918373451852,0.017506072221953405,0.009561983035148817,1.0265290180923232
1,pred_top5_not_true_top5,amplitude_ratio_5d,98,-0.0394977288060025,-0.033999836068559705,-0.01792749668315759,0.34298218774615885,-0.06289024005762374
1,top5_overlap,amplitude_ratio_5d,2,0.3001077586206897,0.3001077586206897,-0.01792749668315759,0.34298218774615885,0.92726464133241
1,true_top5_missed,amplitude_ratio_5d,98,-0.014836926547229647,-0.0757340532998322,-0.01792749668315759,0.34298218774615885,0.00901087650130471
1,pred_top5_not_true_top5,crowding_risk_5d,98,0.9049199481218394,0.8460160946712421,1.158250110861295,0.7039729699735265,-0.35985779787678823
1,top5_overlap,crowding_risk_5d,2,1.1286605249771238,1.1286605249771238,1.158250110861295,0.7039729699735265,-0.042032275593314336
1,true_top5_missed,crowding_risk_5d,98,1.1660773849054873,1.0086653229052298,1.158250110861295,0.7039729699735265,0.01111871389676596
1,pred_top5_not_true_top5,crowding_reversal_risk_5d,98,0.5543002550146605,0.4832567986960335,0.5443759035494448,0.4227690202825684,0.023474642154674815
1,top5_overlap,crowding_reversal_risk_5d,2,1.0872763057279626,1.0872763057279626,0.5443759035494448,0.4227690202825684,1.2841537012708657
1,true_top5_missed,crowding_reversal_risk_5d,98,0.4716038256540483,0.40039868946697016,0.5443759035494448,0.4227690202825684,-0.1721320021196383
1,pred_top5_not_true_top5,volume_price_divergence_5d,98,0.09612244897959182,0.10499999999999995,-2.3684757858670005e-18,0.3399915453741848,0.28272011550699666
1,top5_overlap,volume_price_divergence_5d,2,-0.22000000000000006,-0.22000000000000006,-2.3684757858670005e-18,0.3399915453741848,-0.647074914047861
1,true_top5_missed,volume_price_divergence_5d,98,0.03860544217687076,0.021666666666666598,-2.3684757858670005e-18,0.3399915453741848,0.1135482417199014
