fold_id,date,model_top_return_mean,true_top_return_mean,top_hit_count,top_hit_rate,missed_winners_count,false_positives_count,poor_false_positives_count
1,2025-11-26,-0.002633295037123798,0.1275718526078961,0,0.0,5,5,2
1,2025-11-27,-0.019612046105461422,0.1393439481382312,0,0.0,5,5,3
1,2025-11-28,-0.0349950314606938,0.12084683819745352,0,0.0,5,5,5
1,2025-12-01,-0.03198240116445678,0.13637990239696934,0,0.0,5,5,4
1,2025-12-02,0.01093781192383472,0.17016795038327004,0,0.0,5,5,1
1,2025-12-03,0.04752972154255988,0.1978212100383299,0,0.0,5,5,0
1,2025-12-04,0.05834616424117824,0.13962962476567872,1,0.2,4,4,0
1,2025-12-05,0.023881701257415358,0.10109874364543728,0,0.0,5,5,1
1,2025-12-08,-0.013369593609275221,0.10133184528452607,0,0.0,5,5,3
1,2025-12-09,0.00330865902215306,0.08983381985280459,0,0.0,5,5,1
1,2025-12-10,-0.00952849341248076,0.06776790346826583,0,0.0,5,5,1
1,2025-12-11,0.02577068494982394,0.11692415875986381,1,0.2,4,4,2
1,2025-12-12,-0.0005847831208271592,0.11255069982845203,0,0.0,5,5,1
1,2025-12-15,0.0093235779150223,0.10125560624645624,0,0.0,5,5,3
1,2025-12-16,0.041797440337696744,0.16117985265964924,0,0.0,5,5,1
1,2025-12-17,-0.02016123694982404,0.12504859591383286,0,0.0,5,5,3
1,2025-12-18,0.0003243940466660999,0.16714937383706963,0,0.0,5,5,3
1,2025-12-19,-0.006256561582513221,0.13165019649722626,0,0.0,5,5,5
1,2025-12-22,0.0010307343978866001,0.13421316529220198,0,0.0,5,5,3
1,2025-12-23,-0.00163633714512258,0.12473062966178657,0,0.0,5,5,3
2,2025-12-24,-0.009216192934842677,0.18987609373302983,0,0.0,5,5,4
2,2025-12-25,-0.013922543912658899,0.22201511925585363,0,0.0,5,5,4
2,2025-12-26,0.007477970893641982,0.20133057544117858,0,0.0,5,5,3
2,2025-12-29,0.0890994238773192,0.2894930431692956,0,0.0,5,5,1
2,2025-12-30,0.046368954717943126,0.21623914726001942,0,0.0,5,5,1
2,2025-12-31,0.06134702366659239,0.18652378598778963,1,0.2,4,4,2
2,2026-01-05,0.01984949592072424,0.2689862895198708,0,0.0,5,5,1
2,2026-01-06,-0.04082249313691432,0.33691780599820464,0,0.0,5,5,4
2,2026-01-07,-0.03344007655581288,0.2808762133463573,0,0.0,5,5,3
2,2026-01-08,-0.005915090871625342,0.29788535061278887,0,0.0,5,5,3
2,2026-01-09,0.0016646161846702798,0.15755084491155572,0,0.0,5,5,1
2,2026-01-12,0.02256300544294846,0.14529327042293896,0,0.0,5,5,0
2,2026-01-13,0.0120436667333741,0.1647205858535194,0,0.0,5,5,2
2,2026-01-14,0.039497286294466714,0.17852480851780173,1,0.2,4,4,2
2,2026-01-15,-0.03579729523851406,0.24527348206655902,0,0.0,5,5,4
2,2026-01-16,0.0015412276824200404,0.2308852624620191,0,0.0,5,5,2
2,2026-01-19,0.048201128080416,0.20747854666234353,0,0.0,5,5,0
2,2026-01-20,0.04021724644877102,0.17294700588895293,0,0.0,5,5,0
2,2026-01-21,0.052371325669029446,0.20240448854267715,0,0.0,5,5,0
2,2026-01-22,0.0006468498167712389,0.2712506837972778,0,0.0,5,5,2
3,2026-01-23,0.006230967155120301,0.16289600838473658,0,0.0,5,5,3
3,2026-01-26,0.010527671001400559,0.15462156307458258,0,0.0,5,5,0
3,2026-01-27,-0.04455568402815492,0.1131455874893372,0,0.0,5,5,3
3,2026-01-28,0.028391568845297838,0.1643260728797188,1,0.2,4,4,2
3,2026-01-29,0.004847872523002439,0.17283008649131695,0,0.0,5,5,2
3,2026-01-30,0.010823624334593902,0.15552889455832677,1,0.2,4,4,4
3,2026-02-02,0.0183995029371663,0.1969827002918895,0,0.0,5,5,3
3,2026-02-03,-0.008868041953847,0.142684472446507,0,0.0,5,5,5
3,2026-02-04,-0.0087519474552432,0.17722738237705493,0,0.0,5,5,3
3,2026-02-05,0.01848306755169512,0.20858803830840644,0,0.0,5,5,2
3,2026-02-06,-0.01392302753205032,0.19027342720341858,0,0.0,5,5,3
3,2026-02-09,-0.01154595278581822,0.1804153482987689,0,0.0,5,5,4
3,2026-02-10,0.01059828199409532,0.18984816060369417,0,0.0,5,5,2
3,2026-02-11,0.00809441600736626,0.16783128835324881,0,0.0,5,5,2
3,2026-02-12,0.015565304192855659,0.2242262687247512,0,0.0,5,5,2
3,2026-02-13,0.02497801559302946,0.21169661297245262,0,0.0,5,5,1
3,2026-02-24,0.012584417181873942,0.2706544904661386,0,0.0,5,5,1
3,2026-02-25,-0.0496473052014842,0.25157961939354245,0,0.0,5,5,3
3,2026-02-26,0.0037671871854845634,0.19011988637023822,0,0.0,5,5,2
3,2026-02-27,0.02888284594438046,0.13185058072896214,1,0.2,4,4,1
