模型名,模型族,特征集,sequence_length,MAE,RMSE,RankIC,NDCG@5,NDCG@10,NDCG@20,HitRate@5,HitRate@10,HitRate@20,Top5平均收益,回测累计收益,Sharpe,最大回撤,是否正式候选,说明,特征数,目标
LSTM sl20,lstm,base_alpha_v3_rs_crowding_mini4,20,0.5134838499050866,0.5166341972278576,0.02798208721102495,0.1144439433675708,0.12662047485394884,0.15355203481860685,0.023333333333333334,0.03666666666666667,0.0858333333333333,0.007502490371932375,1.1712462279797915,4.019487965088474,-0.0900673064031069,是,当前正式默认主线,20,cross_section_rank
Momentum (mom_5d),momentum_rule,base_alpha_v3_rs_crowding_mini4,,0.046194105414895735,0.06778553236359877,-0.00889594713357701,0.17699307577066617,0.2038493422424386,0.24270561721770917,0.07333333333333333,0.10833333333333335,0.16500000000000004,0.001318374334743953,0.34650234184961537,1.1995177029250792,-0.2570338119370499,否,简单动量规则基线，直接以短期动量特征排序,1,rule_based
XGBoost,xgboost,base_technical_risk,,0.495697101078952,0.4987902959743691,-0.02416423224851337,0.09049356579283671,0.10035650958703976,0.11985417654586734,0.02,0.030000000000000006,0.056666666666666664,-0.005002248968016885,0.3185988045615067,2.2513124658567176,-0.051696376467988636,否,补充树模型对照，当前为旧特征集结果,45,cross_section_rank
LightGBM,lightgbm,base_alpha_v3_rs_crowding_mini4,,0.49747023811721885,0.5003076271344841,-0.02741681549842336,0.11069252110776855,0.11625439388569586,0.12800465494931726,0.020000000000000004,0.035,0.06166666666666667,0.002183228707590447,0.2958393501197505,1.7116818706529258,-0.1131656514396776,否,同特征集机器学习基线,20,cross_section_rank
Linear Regression,linear_regression,base_alpha_v3_rs_crowding_mini4,,0.4984654825074745,0.5008411538290463,-0.028608321593443856,0.10265845586467721,0.10923772695719396,0.11700726979445643,0.030000000000000006,0.02666666666666667,0.04666666666666666,0.0010383442680723769,-0.041793757299336876,-0.138543915508163,-0.18628459275044884,否,同特征集线性基线,20,cross_section_rank
