label,primary_candidate_size,max_volatility_20d_pct,max_volatility_5d_pct,secondary_screen_mode,secondary_screen_weight,score_self_case_slice,cumulative_return_after_cost,sharpe_after_cost,max_drawdown_after_cost,delta_case_slice_score,delta_cumulative_return_after_cost,delta_sharpe_after_cost,delta_max_drawdown_after_cost,avg_turnover
baseline,40,0.86,0.95,none,0.0,-0.015835041565090434,0.935571619432464,3.6295252848094974,-0.0428936280873258,0.0,0.0,0.0,0.0,
cs40_v2085_v595_abw02,40,0.85,0.95,alpha_blend,0.02,-0.020249779953845127,0.8979354197260259,3.7319062213767658,-0.0386537086584145,-0.004414738388754693,-0.03763619970643817,0.10238093656726832,0.004239919428911304,0.7629177373793592
cs40_v2085_v595_abw04,40,0.85,0.95,alpha_blend,0.04,-0.020249779953845127,0.8979354197260259,3.7319062213767658,-0.0386537086584145,-0.004414738388754693,-0.03763619970643817,0.10238093656726832,0.004239919428911304,0.7629177373793592
cs40_v2085_v595_abw06,40,0.85,0.95,alpha_blend,0.06,-0.020249779953845127,0.8979354197260259,3.7319062213767658,-0.0386537086584145,-0.004414738388754693,-0.03763619970643817,0.10238093656726832,0.004239919428911304,0.7629177373793592
cs40_v2085_v595_abw08,40,0.85,0.95,alpha_blend,0.08,-0.020249779953845127,0.8979354197260259,3.7319062213767658,-0.0386537086584145,-0.004414738388754693,-0.03763619970643817,0.10238093656726832,0.004239919428911304,0.7629177373793592
cs40_v2085_v595_abw10,40,0.85,0.95,alpha_blend,0.1,-0.020249779953845127,0.8979354197260259,3.7319062213767658,-0.0386537086584145,-0.004414738388754693,-0.03763619970643817,0.10238093656726832,0.004239919428911304,0.7629177373793592
cs40_v2085_v596_abw02,40,0.85,0.96,alpha_blend,0.02,-0.020249779953845127,0.8979354197260259,3.7319062213767658,-0.0386537086584145,-0.004414738388754693,-0.03763619970643817,0.10238093656726832,0.004239919428911304,0.7629177373793592
cs40_v2085_v596_abw04,40,0.85,0.96,alpha_blend,0.04,-0.020249779953845127,0.8979354197260259,3.7319062213767658,-0.0386537086584145,-0.004414738388754693,-0.03763619970643817,0.10238093656726832,0.004239919428911304,0.7629177373793592
cs40_v2085_v596_abw06,40,0.85,0.96,alpha_blend,0.06,-0.020249779953845127,0.8979354197260259,3.7319062213767658,-0.0386537086584145,-0.004414738388754693,-0.03763619970643817,0.10238093656726832,0.004239919428911304,0.7629177373793592
cs40_v2085_v596_abw08,40,0.85,0.96,alpha_blend,0.08,-0.020249779953845127,0.8979354197260259,3.7319062213767658,-0.0386537086584145,-0.004414738388754693,-0.03763619970643817,0.10238093656726832,0.004239919428911304,0.7629177373793592
cs40_v2085_v596_abw10,40,0.85,0.96,alpha_blend,0.1,-0.020249779953845127,0.8979354197260259,3.7319062213767658,-0.0386537086584145,-0.004414738388754693,-0.03763619970643817,0.10238093656726832,0.004239919428911304,0.7629177373793592
cs40_v2086_v595_abw02,40,0.86,0.95,alpha_blend,0.02,-0.020249779953845127,0.935571619432464,3.6295252848094974,-0.0428936280873258,-0.004414738388754693,0.0,0.0,0.0,0.7612811507926904
cs40_v2086_v595_abw04,40,0.86,0.95,alpha_blend,0.04,-0.020249779953845127,0.935571619432464,3.6295252848094974,-0.0428936280873258,-0.004414738388754693,0.0,0.0,0.0,0.7612811507926904
cs40_v2086_v595_abw06,40,0.86,0.95,alpha_blend,0.06,-0.020249779953845127,0.935571619432464,3.6295252848094974,-0.0428936280873258,-0.004414738388754693,0.0,0.0,0.0,0.7612811507926904
cs40_v2086_v595_abw08,40,0.86,0.95,alpha_blend,0.08,-0.020249779953845127,0.935571619432464,3.6295252848094974,-0.0428936280873258,-0.004414738388754693,0.0,0.0,0.0,0.7612811507926904
cs40_v2086_v595_abw10,40,0.86,0.95,alpha_blend,0.1,-0.020249779953845127,0.935571619432464,3.6295252848094974,-0.0428936280873258,-0.004414738388754693,0.0,0.0,0.0,0.7612811507926904
cs40_v2086_v596_abw02,40,0.86,0.96,alpha_blend,0.02,-0.020249779953845127,0.935571619432464,3.6295252848094974,-0.0428936280873258,-0.004414738388754693,0.0,0.0,0.0,0.7612811507926904
cs40_v2086_v596_abw04,40,0.86,0.96,alpha_blend,0.04,-0.020249779953845127,0.935571619432464,3.6295252848094974,-0.0428936280873258,-0.004414738388754693,0.0,0.0,0.0,0.7612811507926904
cs40_v2086_v596_abw06,40,0.86,0.96,alpha_blend,0.06,-0.020249779953845127,0.935571619432464,3.6295252848094974,-0.0428936280873258,-0.004414738388754693,0.0,0.0,0.0,0.7612811507926904
cs40_v2086_v596_abw08,40,0.86,0.96,alpha_blend,0.08,-0.020249779953845127,0.935571619432464,3.6295252848094974,-0.0428936280873258,-0.004414738388754693,0.0,0.0,0.0,0.7612811507926904
cs40_v2086_v596_abw10,40,0.86,0.96,alpha_blend,0.1,-0.020249779953845127,0.935571619432464,3.6295252848094974,-0.0428936280873258,-0.004414738388754693,0.0,0.0,0.0,0.7612811507926904
