profile_name,date,regime,is_high_volatility_range,active_config,selected_count,gross_return,transaction_cost,net_return,turnover,desired_turnover,execution_strength,net_value_before_cost,net_value_after_cost,selected_stock_ids,selected_weights,selected_target_returns,filter_after_risk_filters,drawdown_after_cost
aggressive_static,2025-11-26,normal_or_low_volatility,0,aggressive,5,0.00929721266981386,0.001,0.008297212669813859,1.0,1.0,1.0,1.0092972126698139,1.0082972126698138,"000001,000895,600000,600938,300803","0.200000,0.200000,0.200000,0.200000,0.200000","-0.001715,0.020030,0.000000,0.028336,-0.000164",150,0.0
aggressive_static,2025-11-27,normal_or_low_volatility,0,aggressive,5,0.001678717079128642,0.001,0.0006787170791286419,1.0,1.6,0.625,1.0109915371386395,1.0089815612088906,"300803,600415,600048,688082,601728","0.200000,0.125000,0.125000,0.125000,0.125000","-0.001832,0.022054,-0.042963,0.013635,0.023634",151,0.0
aggressive_static,2025-11-28,normal_or_low_volatility,0,aggressive,5,-0.006200590182431727,0.001,-0.007200590182431727,1.0,1.6,0.625,1.0047227929389362,1.0017162984849952,"688012,300347,300803,600050,600196","0.125000,0.125000,0.200000,0.125000,0.125000","0.018676,-0.041569,-0.007689,-0.011091,-0.003319",147,-0.007200590182431688
aggressive_static,2025-12-01,normal_or_low_volatility,0,aggressive,5,0.022271208914265622,0.0009999999999999998,0.02127120891426562,0.9999999999999999,1.00625,0.9937888198757763,1.0270991841614037,1.0230240151428944,"300408,688012,688082,300803,300347","0.198758,0.199534,0.199049,0.200000,0.199534","0.014282,0.042137,0.008698,0.064602,-0.018178",153,0.0
aggressive_static,2025-12-02,normal_or_low_volatility,0,aggressive,5,0.036205633001593844,0.00040434782608695654,0.03580128517550689,0.4043478260869565,0.4043478260869565,1.0,1.064285960279388,1.0596495896504174,"300347,688012,300803,300408,002074","0.200000,0.200000,0.200000,0.200000,0.200000","0.012695,0.045554,0.056777,0.058503,0.007499",151,0.0
aggressive_static,2025-12-03,normal_or_low_volatility,0,aggressive,5,0.026722329817078116,0.0007999999999999999,0.025922329817078118,0.7999999999999999,0.7999999999999999,1.0,1.0927261607296592,1.087118175803867,"002459,300803,688012,600515,002074","0.200000,0.200000,0.200000,0.200000,0.200000","0.000000,0.056218,0.062720,-0.016461,0.031135",155,0.0
aggressive_static,2025-12-04,normal_or_low_volatility,0,aggressive,5,0.027682028201273648,0.0008,0.02688202820127365,0.8,0.8,1.0,1.1229750371272473,1.1163421172639438,"600515,300803,002493,002074,600547","0.200000,0.200000,0.200000,0.200000,0.200000","0.081250,0.053582,-0.016649,0.022199,-0.001971",152,0.0
aggressive_static,2025-12-05,normal_or_low_volatility,0,aggressive,5,-0.00903571950078762,0.001,-0.010035719500787622,1.0,1.2000000000000002,0.8333333333333333,1.112828149685379,1.1051388209081676,"002916,600515,601298,601838,002493","0.166667,0.200000,0.166667,0.166667,0.200000","0.015684,0.018634,-0.003472,-0.028909,-0.049898",160,-0.010035719500787521
aggressive_static,2025-12-08,normal_or_low_volatility,0,aggressive,5,-0.001891829854838668,0.001,-0.002891829854838668,1.0,1.2666666666666668,0.7894736842105262,1.110722868168499,1.101942947472124,"600938,601298,600027,600741,002493","0.157895,0.192982,0.157895,0.157895,0.200000","0.003180,0.012821,0.009634,0.008101,-0.038342",162,-0.012898527762359113
aggressive_static,2025-12-09,normal_or_low_volatility,0,aggressive,5,0.011749395075038981,0.0006666666666666668,0.011082728408372315,0.6666666666666667,0.6666666666666667,1.0,1.1237731899654912,1.1141554818804789,"000333,600938,600027,600741,601298","0.200000,0.200000,0.200000,0.200000,0.200000","0.003376,-0.000709,0.017308,0.018936,0.019837",165,-0.0019587502340449037
