profile_name,model_dir,sequence_length,risk_penalty_weight,sort_strategy,primary_candidate_size,rank_ic_mean,top5_mean_return_mean,worst_fold_rank_ic,best_fold_rank_ic,avg_negative_day_rank_ic_ratio,avg_after_risk_filters,avg_selected_target_return,cumulative_return_after_cost,sharpe_after_cost,max_drawdown_after_cost,avg_turnover,avg_selected_count,periods
sl10__pure_prediction__cs150__rp-30,D:\Desktop\股票分析预测代码\app\model,10,-0.3,pure_prediction,150,0.01168002338745768,0.010118703963325768,-0.060918351276148086,0.059910582837919876,0.45,127.03333333333335,0.012162149197788302,0.9469001498048104,3.456369410222923,-0.05317954212090659,0.8459203577531882,5.0,60
sl10__risk_adjusted__cs150__rp-30,D:\Desktop\股票分析预测代码\app\model,10,-0.3,risk_adjusted,150,0.01168002338745768,0.010118703963325768,-0.060918351276148086,0.059910582837919876,0.45,127.03333333333335,0.010534390904781928,0.77353295016878,2.6542614058335894,-0.10164938232850063,0.8867663599093089,5.0,60
sl10__pure_prediction__cs150__rp-60,D:\Desktop\股票分析预测代码\app\model,10,-0.6,pure_prediction,150,0.01168002338745768,0.010118703963325768,-0.060918351276148086,0.059910582837919876,0.45,127.03333333333335,0.012162149197788302,0.9469001498048104,3.456369410222923,-0.05317954212090659,0.8459203577531882,5.0,60
sl10__risk_adjusted__cs150__rp-60,D:\Desktop\股票分析预测代码\app\model,10,-0.6,risk_adjusted,150,0.01168002338745768,0.010118703963325768,-0.060918351276148086,0.059910582837919876,0.45,127.03333333333335,0.009775783445633863,0.67114192881551,2.4163022605276745,-0.09916822159451122,0.9339434505523189,5.0,60
sl10__pure_prediction__cs150__rp-90,D:\Desktop\股票分析预测代码\app\model,10,-0.9,pure_prediction,150,0.01168002338745768,0.010118703963325768,-0.060918351276148086,0.059910582837919876,0.45,127.03333333333335,0.012162149197788302,0.9469001498048104,3.456369410222923,-0.05317954212090659,0.8459203577531882,5.0,60
sl10__risk_adjusted__cs150__rp-90,D:\Desktop\股票分析预测代码\app\model,10,-0.9,risk_adjusted,150,0.01168002338745768,0.010118703963325768,-0.060918351276148086,0.059910582837919876,0.45,127.03333333333335,0.011994032469158561,0.8270998883700147,2.7897649230089843,-0.1236473127276646,0.9395724011900746,5.0,60
sl20__pure_prediction__cs150__rp-30,D:\Desktop\股票分析预测代码\app\model\stability_parameter_compare\models\lstm_sl20,20,-0.3,pure_prediction,150,0.02798208721102495,0.007502490371932375,-0.033492236853097226,0.11894604612263202,0.39999999999999997,121.48333333333335,0.013113921804497643,0.8803223032712588,3.842787234585839,-0.0430676267196306,0.8866657934613483,5.0,60
sl20__risk_adjusted__cs150__rp-30,D:\Desktop\股票分析预测代码\app\model\stability_parameter_compare\models\lstm_sl20,20,-0.3,risk_adjusted,150,0.02798208721102495,0.007502490371932375,-0.033492236853097226,0.11894604612263202,0.39999999999999997,121.48333333333335,0.015370015216464713,1.0873893426109587,3.803308172367091,-0.07601180562007293,0.9533175973306517,5.0,60
sl20__pure_prediction__cs150__rp-60,D:\Desktop\股票分析预测代码\app\model\stability_parameter_compare\models\lstm_sl20,20,-0.6,pure_prediction,150,0.02798208721102495,0.007502490371932375,-0.033492236853097226,0.11894604612263202,0.39999999999999997,121.48333333333335,0.013113921804497643,0.8803223032712588,3.842787234585839,-0.0430676267196306,0.8866657934613483,5.0,60
sl20__risk_adjusted__cs150__rp-60,D:\Desktop\股票分析预测代码\app\model\stability_parameter_compare\models\lstm_sl20,20,-0.6,risk_adjusted,150,0.02798208721102495,0.007502490371932375,-0.033492236853097226,0.11894604612263202,0.39999999999999997,121.48333333333335,0.013443649899191617,0.7844862593781179,3.0150708442671963,-0.10315234169186627,0.9678673920472417,5.0,60
sl20__pure_prediction__cs150__rp-90,D:\Desktop\股票分析预测代码\app\model\stability_parameter_compare\models\lstm_sl20,20,-0.9,pure_prediction,150,0.02798208721102495,0.007502490371932375,-0.033492236853097226,0.11894604612263202,0.39999999999999997,121.48333333333335,0.013113921804497643,0.8803223032712588,3.842787234585839,-0.0430676267196306,0.8866657934613483,5.0,60
sl20__risk_adjusted__cs150__rp-90,D:\Desktop\股票分析预测代码\app\model\stability_parameter_compare\models\lstm_sl20,20,-0.9,risk_adjusted,150,0.02798208721102495,0.007502490371932375,-0.033492236853097226,0.11894604612263202,0.39999999999999997,121.48333333333335,0.014457076458006752,0.7910085033208427,3.0089198879154897,-0.09342310051731828,0.9875460241935575,5.0,60
