profile_name,fold_id,date,day_rank_ic,candidate_count,prediction_mean,prediction_std,target_mean,target_std,avg_volatility_20d,avg_volatility_5d,avg_turnover_rate,avg_turnover_ratio_10d,avg_amplitude_ratio_5d,selected_count,selected_pred_return_mean,selected_target_return_mean,selected_weighted_target_return,selected_volatility_20d_mean,selected_volatility_5d_mean,selected_turnover_rate_mean,filter_initial_candidates,filter_after_primary_screen,filter_after_risk_filters,filter_after_secondary_screen,filter_fallback_used,sequence_length,risk_penalty_weight,sort_strategy,primary_candidate_size
sl10__pure_prediction__cs150__rp-30,1,2025-11-26,-0.1298822832090458,300,0.48327414136666663,0.029513693907236654,0.00871248038623854,0.031059058737763434,0.01911507154056696,0.018701012800123654,1.1424560000000001,-0.09702693589271977,-0.12757548712361397,5,0.542245514,0.0059743812317064,0.0059757736278251055,0.00875735611689412,0.01176263863238352,0.6802400000000001,300,150,124,124,0,10,-0.3,pure_prediction,150
sl10__pure_prediction__cs150__rp-30,1,2025-11-27,-0.12826793246163845,300,0.4935705449333333,0.027357823655534685,0.006520541589028746,0.035966486693302074,0.018761714780250502,0.0187267133033879,1.0946293333333335,-0.10221509459272082,-0.10279976250371897,5,0.541967388,0.0076977780301624,0.007763054206446916,0.00850639650904808,0.00987695503912566,0.45587999999999995,300,150,123,123,0,10,-0.3,pure_prediction,150
sl10__pure_prediction__cs150__rp-30,1,2025-11-28,-0.05817078607252913,300,0.4907940494333333,0.029309244764972153,-0.0024013733862022447,0.033944920706592704,0.018009944409587524,0.013327795217730948,0.956631,-0.16405738453017676,-0.1222449036174351,5,0.543329438,-0.005145649971026459,-0.005447050817748404,0.014256372918964819,0.00783190666511102,0.9450999999999998,300,150,123,123,0,10,-0.3,pure_prediction,150
sl10__pure_prediction__cs150__rp-30,1,2025-12-01,-0.04911726698884907,300,0.4956315290666667,0.029639397132933395,0.00038376468407220283,0.038252830783501904,0.01834038186217192,0.013839782209492899,1.3700813333333335,0.16998198524121147,0.12580044530885143,5,0.544962578,-0.007471161710277461,-0.007477053085457566,0.01918314599382006,0.00901065649043666,1.38194,300,150,122,122,0,10,-0.3,pure_prediction,150
sl10__pure_prediction__cs150__rp-30,1,2025-12-02,0.021618306227185004,300,0.4930756920666666,0.031087328158824205,0.005661202111109214,0.03992151511444516,0.018100374163062437,0.014492318122117277,1.0516143333333332,-0.11185102750213266,-0.06256847749070583,5,0.5422165120000001,0.005470535854408939,0.005567069786927915,0.02262452816960588,0.01328138372078994,1.2201,300,150,118,118,0,10,-0.3,pure_prediction,150
sl10__pure_prediction__cs150__rp-30,1,2025-12-03,0.10973689678436177,300,0.5018951625,0.032744466921604494,0.0013027612796860308,0.04338956684538926,0.018080796727540205,0.0145874845342174,1.0333456666666665,-0.09348647969508539,0.058180799332410625,5,0.55623396,0.024040823569413818,0.023925465998336844,0.02668696569254378,0.02026407607318572,1.55824,300,150,122,122,0,10,-0.3,pure_prediction,150
sl10__pure_prediction__cs150__rp-30,1,2025-12-04,-0.007516760208576124,300,0.5002700640666666,0.031498135618681804,0.00828145668724565,0.034708132070079,0.017528733269125296,0.01459138847816717,0.9536159999999999,-0.15933976437850308,-0.04315944584139579,5,0.5452678160000001,-0.005323886686788499,-0.0054225341442656365,0.020361104846619384,0.01842983223276062,1.12398,300,150,117,117,0,10,-0.3,pure_prediction,150
sl10__pure_prediction__cs150__rp-30,1,2025-12-05,0.049302791943378436,300,0.4953406336666667,0.027972161723065853,-0.010352760226929434,0.030426012903726467,0.017632443961958996,0.015720058461574312,1.136266,0.05930147019919658,0.10098138877690864,5,0.5384796439999999,-0.01876031229688682,-0.01875793226513979,0.01591294752173554,0.014406509118594762,0.5155000000000001,300,150,125,125,0,10,-0.3,pure_prediction,150
sl10__pure_prediction__cs150__rp-30,1,2025-12-08,0.18478275846027928,300,0.4951374296333334,0.025412499589263275,-0.010410610970843498,0.030725295697685166,0.017131356302736607,0.014569927823218662,1.3106679999999997,0.18464006400761648,0.014389834697719817,5,0.53893628,0.02103863185434938,0.021070401062972133,0.0138069777113525,0.0103038897395301,1.05252,300,150,121,121,0,10,-0.3,pure_prediction,150
sl10__pure_prediction__cs150__rp-30,1,2025-12-09,0.2356683050191505,300,0.49013423809999995,0.02616585869150509,-0.003435043734788855,0.03266527133140459,0.017293466318454756,0.015384440718267918,1.2065886666666665,0.08159133576899794,0.04719848155822513,5,0.536484984,0.01668191167240484,0.016706842235115395,0.012550993129403578,0.0135809666644383,0.81402,300,150,135,135,0,10,-0.3,pure_prediction,150
