profile_name,fold_id,rmse,mae,rank_ic,top5_mean_return,validation_days,validation_rows,prediction_mean,prediction_std,target_mean,target_std,avg_daily_pred_std,avg_daily_target_std,avg_day_rank_ic,negative_day_rank_ic_ratio,avg_volatility_20d,avg_volatility_5d,avg_turnover_rate,avg_turnover_ratio_10d,avg_amplitude_ratio_5d,avg_initial_candidates,avg_after_primary_screen,avg_after_risk_filters,avg_after_secondary_screen,fallback_day_ratio,avg_selected_count,avg_selected_pred_return,avg_selected_target_return,avg_selected_weighted_target_return,avg_selected_volatility_20d,avg_selected_volatility_5d,avg_selected_turnover_rate,sequence_length,risk_penalty_weight,sort_strategy,primary_candidate_size
sl10__pure_prediction__cs150__rp-30,1,0.49185027663214886,0.4896771524704426,-0.060918351276148086,0.0023892770130405196,20,6000,0.493501473255,0.028613222412363012,0.00382432078455745,0.034769262878015614,0.02820678456250228,0.03334763471889757,-0.060918351276148086,0.55,0.017506072221953405,0.016092614429510644,1.13744445,-0.00906624864614165,-0.017927496683157584,300.0,150.0,128.5,128.5,0.0,5.0,0.5420445782000001,0.002454296251793377,0.002418514727550488,0.013014677591474847,0.010556923262515307,0.872241,10,-0.3,pure_prediction,150
sl10__pure_prediction__cs150__rp-30,2,0.49967658597206493,0.4960740250800762,0.03604783860060125,0.023801127014467755,20,6000,0.5047371496216666,0.030286277954715186,0.008742283105528903,0.05196924749630539,0.029928870654413207,0.04999884096380906,0.03604783860060125,0.4,0.017899382657047026,0.01773704111798699,1.6062402833333331,0.12021615633603326,0.03351811416269945,300.0,150.0,126.9,126.9,0.0,5.0,0.5629135808000001,0.023298420974904095,0.023448133443486847,0.019762500835097115,0.012372014234590436,1.291272,10,-0.3,pure_prediction,150
sl10__pure_prediction__cs150__rp-30,3,0.5038792087810754,0.5001949742367217,0.059910582837919876,0.0041657078624690305,20,6000,0.49916858865833336,0.03494915422321927,-0.0010263855783883473,0.05005292639943766,0.034686385002645224,0.047649535780264325,0.059910582837919876,0.4,0.022802931994138093,0.02131994554951272,1.5496310666666668,-0.04801795117019615,-0.007454451456272461,300.0,150.0,125.7,125.7,0.0,5.0,0.5531811925999999,0.010733730366667436,0.010607641907828888,0.024555801578499944,0.023223158506262553,1.5373919999999996,10,-0.3,pure_prediction,150
sl10__risk_adjusted__cs150__rp-30,1,0.49185027663214886,0.4896771524704426,-0.060918351276148086,0.0023892770130405196,20,6000,0.493501473255,0.028613222412363012,0.00382432078455745,0.034769262878015614,0.02820678456250228,0.03334763471889757,-0.060918351276148086,0.55,0.017506072221953405,0.016092614429510644,1.13744445,-0.00906624864614165,-0.017927496683157584,300.0,150.0,128.5,128.5,0.0,5.0,0.5388711219999999,-0.001598873774939183,-0.0016246337476412119,0.017159475740519826,0.015075343486816129,1.142278,10,-0.3,risk_adjusted,150
sl10__risk_adjusted__cs150__rp-30,2,0.49967658597206493,0.4960740250800762,0.03604783860060125,0.023801127014467755,20,6000,0.5047371496216666,0.030286277954715186,0.008742283105528903,0.05196924749630539,0.029928870654413207,0.04999884096380906,0.03604783860060125,0.4,0.017899382657047026,0.01773704111798699,1.6062402833333331,0.12021615633603326,0.03351811416269945,300.0,150.0,126.9,126.9,0.0,5.0,0.5595643208,0.028583242287662302,0.028599201009621312,0.02165336839483622,0.015044437610542912,1.5353609999999998,10,-0.3,risk_adjusted,150
sl10__risk_adjusted__cs150__rp-30,3,0.5038792087810754,0.5001949742367217,0.059910582837919876,0.0041657078624690305,20,6000,0.49916858865833336,0.03494915422321927,-0.0010263855783883473,0.05005292639943766,0.034686385002645224,0.047649535780264325,0.059910582837919876,0.4,0.022802931994138093,0.02131994554951272,1.5496310666666668,-0.04801795117019615,-0.007454451456272461,300.0,150.0,125.7,125.7,0.0,5.0,0.5515053564000001,0.004618804201622666,0.004673032777573633,0.027698896765556973,0.026923578690304754,1.7894200000000002,10,-0.3,risk_adjusted,150
sl10__pure_prediction__cs150__rp-60,1,0.49185027663214886,0.4896771524704426,-0.060918351276148086,0.0023892770130405196,20,6000,0.493501473255,0.028613222412363012,0.00382432078455745,0.034769262878015614,0.02820678456250228,0.03334763471889757,-0.060918351276148086,0.55,0.017506072221953405,0.016092614429510644,1.13744445,-0.00906624864614165,-0.017927496683157584,300.0,150.0,128.5,128.5,0.0,5.0,0.5420445782000001,0.002454296251793377,0.002418514727550488,0.013014677591474847,0.010556923262515307,0.872241,10,-0.6,pure_prediction,150
sl10__pure_prediction__cs150__rp-60,2,0.49967658597206493,0.4960740250800762,0.03604783860060125,0.023801127014467755,20,6000,0.5047371496216666,0.030286277954715186,0.008742283105528903,0.05196924749630539,0.029928870654413207,0.04999884096380906,0.03604783860060125,0.4,0.017899382657047026,0.01773704111798699,1.6062402833333331,0.12021615633603326,0.03351811416269945,300.0,150.0,126.9,126.9,0.0,5.0,0.5629135808000001,0.023298420974904095,0.023448133443486847,0.019762500835097115,0.012372014234590436,1.291272,10,-0.6,pure_prediction,150
sl10__pure_prediction__cs150__rp-60,3,0.5038792087810754,0.5001949742367217,0.059910582837919876,0.0041657078624690305,20,6000,0.49916858865833336,0.03494915422321927,-0.0010263855783883473,0.05005292639943766,0.034686385002645224,0.047649535780264325,0.059910582837919876,0.4,0.022802931994138093,0.02131994554951272,1.5496310666666668,-0.04801795117019615,-0.007454451456272461,300.0,150.0,125.7,125.7,0.0,5.0,0.5531811925999999,0.010733730366667436,0.010607641907828888,0.024555801578499944,0.023223158506262553,1.5373919999999996,10,-0.6,pure_prediction,150
sl10__risk_adjusted__cs150__rp-60,1,0.49185027663214886,0.4896771524704426,-0.060918351276148086,0.0023892770130405196,20,6000,0.493501473255,0.028613222412363012,0.00382432078455745,0.034769262878015614,0.02820678456250228,0.03334763471889757,-0.060918351276148086,0.55,0.017506072221953405,0.016092614429510644,1.13744445,-0.00906624864614165,-0.017927496683157584,300.0,150.0,128.5,128.5,0.0,5.0,0.5360350709999999,-0.0015511420000048756,-0.0015607943859093233,0.01836570483259664,0.016426555215714372,1.2541170000000001,10,-0.6,risk_adjusted,150
sl10__risk_adjusted__cs150__rp-60,2,0.49967658597206493,0.4960740250800762,0.03604783860060125,0.023801127014467755,20,6000,0.5047371496216666,0.030286277954715186,0.008742283105528903,0.05196924749630539,0.029928870654413207,0.04999884096380906,0.03604783860060125,0.4,0.017899382657047026,0.01773704111798699,1.6062402833333331,0.12021615633603326,0.03351811416269945,300.0,150.0,126.9,126.9,0.0,5.0,0.5561779143,0.02924579186095481,0.029287091609034744,0.022426294434384934,0.016436883720802854,1.6213769999999996,10,-0.6,risk_adjusted,150
sl10__risk_adjusted__cs150__rp-60,3,0.5038792087810754,0.5001949742367217,0.059910582837919876,0.0041657078624690305,20,6000,0.49916858865833336,0.03494915422321927,-0.0010263855783883473,0.05005292639943766,0.034686385002645224,0.047649535780264325,0.059910582837919876,0.4,0.022802931994138093,0.02131994554951272,1.5496310666666668,-0.04801795117019615,-0.007454451456272461,300.0,150.0,125.7,125.7,0.0,5.0,0.5492619187,0.001632700475951655,0.0017064184739810444,0.027697158460134774,0.02728386909651148,1.898516,10,-0.6,risk_adjusted,150
sl10__pure_prediction__cs150__rp-90,1,0.49185027663214886,0.4896771524704426,-0.060918351276148086,0.0023892770130405196,20,6000,0.493501473255,0.028613222412363012,0.00382432078455745,0.034769262878015614,0.02820678456250228,0.03334763471889757,-0.060918351276148086,0.55,0.017506072221953405,0.016092614429510644,1.13744445,-0.00906624864614165,-0.017927496683157584,300.0,150.0,128.5,128.5,0.0,5.0,0.5420445782000001,0.002454296251793377,0.002418514727550488,0.013014677591474847,0.010556923262515307,0.872241,10,-0.9,pure_prediction,150
sl10__pure_prediction__cs150__rp-90,2,0.49967658597206493,0.4960740250800762,0.03604783860060125,0.023801127014467755,20,6000,0.5047371496216666,0.030286277954715186,0.008742283105528903,0.05196924749630539,0.029928870654413207,0.04999884096380906,0.03604783860060125,0.4,0.017899382657047026,0.01773704111798699,1.6062402833333331,0.12021615633603326,0.03351811416269945,300.0,150.0,126.9,126.9,0.0,5.0,0.5629135808000001,0.023298420974904095,0.023448133443486847,0.019762500835097115,0.012372014234590436,1.291272,10,-0.9,pure_prediction,150
sl10__pure_prediction__cs150__rp-90,3,0.5038792087810754,0.5001949742367217,0.059910582837919876,0.0041657078624690305,20,6000,0.49916858865833336,0.03494915422321927,-0.0010263855783883473,0.05005292639943766,0.034686385002645224,0.047649535780264325,0.059910582837919876,0.4,0.022802931994138093,0.02131994554951272,1.5496310666666668,-0.04801795117019615,-0.007454451456272461,300.0,150.0,125.7,125.7,0.0,5.0,0.5531811925999999,0.010733730366667436,0.010607641907828888,0.024555801578499944,0.023223158506262553,1.5373919999999996,10,-0.9,pure_prediction,150
sl10__risk_adjusted__cs150__rp-90,1,0.49185027663214886,0.4896771524704426,-0.060918351276148086,0.0023892770130405196,20,6000,0.493501473255,0.028613222412363012,0.00382432078455745,0.034769262878015614,0.02820678456250228,0.03334763471889757,-0.060918351276148086,0.55,0.017506072221953405,0.016092614429510644,1.13744445,-0.00906624864614165,-0.017927496683157584,300.0,150.0,128.5,128.5,0.0,5.0,0.5340835047000001,-3.321475369323515e-05,-9.637963211966451e-05,0.01896445285280915,0.01777570334198352,1.3132350000000002,10,-0.9,risk_adjusted,150
sl10__risk_adjusted__cs150__rp-90,2,0.49967658597206493,0.4960740250800762,0.03604783860060125,0.023801127014467755,20,6000,0.5047371496216666,0.030286277954715186,0.008742283105528903,0.05196924749630539,0.029928870654413207,0.04999884096380906,0.03604783860060125,0.4,0.017899382657047026,0.01773704111798699,1.6062402833333331,0.12021615633603326,0.03351811416269945,300.0,150.0,126.9,126.9,0.0,5.0,0.5545013348,0.03212043094833219,0.03200559750157144,0.02257178570132704,0.016961709603115188,1.7345560000000002,10,-0.9,risk_adjusted,150
sl10__risk_adjusted__cs150__rp-90,3,0.5038792087810754,0.5001949742367217,0.059910582837919876,0.0041657078624690305,20,6000,0.49916858865833336,0.03494915422321927,-0.0010263855783883473,0.05005292639943766,0.034686385002645224,0.047649535780264325,0.059910582837919876,0.4,0.022802931994138093,0.02131994554951272,1.5496310666666668,-0.04801795117019615,-0.007454451456272461,300.0,150.0,125.7,125.7,0.0,5.0,0.5476926089,0.0038948812128367315,0.004002176071636268,0.028164309308563944,0.027584894769802814,1.9678080000000004,10,-0.9,risk_adjusted,150
sl20__pure_prediction__cs150__rp-30,1,0.5163875343405422,0.5136862738171093,-0.033492236853097226,0.004074555502322908,20,6000,0.5175105946016666,0.039617486501816665,0.00382432078455745,0.034769262878015614,0.03884448997395947,0.03334763471889757,-0.033492236853097226,0.65,0.017506072221953405,0.016092614429510644,1.13744445,-0.00906624864614165,-0.017927496683157584,300.0,150.0,131.3,131.3,0.0,5.0,0.5799788282,0.004035298610986401,0.004072985436134124,0.010518431229378759,0.007970347717257027,0.7513110000000001,20,-0.3,pure_prediction,150
sl20__pure_prediction__cs150__rp-30,2,0.5187347950384458,0.5150170062530954,0.11894604612263202,0.015188776438936003,20,6000,0.5236994830866667,0.03919412770644478,0.008742283105528903,0.05196924749630539,0.03775058246533048,0.04999884096380906,0.11894604612263202,0.1,0.017899382657047026,0.01773704111798699,1.6062402833333331,0.12021615633603326,0.03351811416269945,300.0,150.0,113.5,113.5,0.0,5.0,0.5944265645,0.027969815715928093,0.02794164427575933,0.022284366912631675,0.0191899649887831,1.7770169999999996,20,-0.3,pure_prediction,150
sl20__pure_prediction__cs150__rp-30,3,0.514780262304585,0.511748269645055,-0.0015075476364599355,0.003244139174538214,20,6000,0.5107218840666667,0.025201603206066837,-0.0010263855783883473,0.05005292639943766,0.024913334579904856,0.047649535780264325,-0.0015075476364599355,0.45,0.022802931994138093,0.02131994554951272,1.5496310666666668,-0.04801795117019615,-0.007454451456272461,300.0,150.0,119.65,119.65,0.0,5.0,0.5685950467,0.007336651086578434,0.007451549760591263,0.023390053529881504,0.024142371633227862,1.397847,20,-0.3,pure_prediction,150
