metric,our_score,case_score,diff_our_minus_case,judgement
current_output_score,-0.005101713484383047,0.02517949121691857,-0.03028120470130162,case_higher
recorded_best_score,-0.005101713484383047,0.037838,-0.042939713484383045,case_higher
