label,feature_set,feature_count,rank_ic_mean,top5_mean_return_mean,cumulative_return_after_cost,sharpe_after_cost,max_drawdown_after_cost,avg_turnover,score_self_case_slice,case_best_final_score,notes
current_refined_default,base,16,0.00858413563307822,0.017534048047474538,0.8441553414974963,3.308486234105885,-0.0435327490891476,0.7024148071951515,-0.03873912619019163,,当前正式默认方案，作为所有新实验的基线。
lstm_alpha_v3_base,base_alpha_v3,30,0.03393058321290219,0.009103407138814848,0.3643668065752881,2.336069348836833,-0.0508035817562854,0.7460099292496128,-0.014385805226057067,,base 特征上新增 alpha_v3，单切片改善，但本地多期回测明显弱于当前默认版。
lstm_alpha_v3_full,base_technical_risk_alpha_v3,70,0.0542152971535953,0.007765166309879377,0.2606216004886998,2.505064182492338,-0.079145032637958,0.7978458634315111,-0.013416491704841722,,全量技术/风险/alpha_v3 特征，单切片优于当前默认版，但本地回测仍弱。
case_zip_program,,,,,,,,,0.02517949121691857,0.037838,压缩包程序可见结果。未提供完整滚动预测或统一回测轨迹，因此本地多期指标记为 N/A。
