rmse,mae,rank_ic,top5_mean_return,fold_id,train_rows,valid_rows,train_sequence_rows,valid_sequence_rows,train_date_start,train_date_end,valid_date_start,valid_date_end
0.4926515034763249,0.4907786395039672,-0.02123757006578668,0.01182168449526631,1,137090,6000,134390,6000,2024-01-02,2025-11-25,2025-11-26,2025-12-23
0.4971717823983763,0.4933426355929372,0.06610926535484381,0.015861421641390427,2,143090,6000,140390,6000,2024-01-02,2025-12-23,2025-12-24,2026-01-22
0.48358169544259955,0.4797241433192038,0.02661020761137095,-0.005141747707525528,3,149090,6000,146390,6000,2024-01-02,2026-01-22,2026-01-23,2026-02-27
