label,feature_set,feature_count,rank_ic_mean,top5_mean_return_mean,cumulative_return_after_cost,sharpe_after_cost,max_drawdown_after_cost,avg_turnover,score_self_case_slice,delta_case_slice_score,delta_cumulative_return_after_cost,delta_sharpe_after_cost,delta_max_drawdown_after_cost,retain_candidate,retain_reason
current_mini4_default,base_alpha_v3_rs_crowding_mini4,20,0.01168002338745768,0.010118703963325768,0.935571619432464,3.6295252848094974,-0.0428936280873258,0.7612811507926904,-0.015835041565090434,0.0,0.0,0.0,0.0,0,baseline
rs_accel_v2,base_alpha_v3_rs_crowding_mini4__rel_strength_accel_5d_v2,21,0.054922134500586965,0.014429957515791993,0.796345673049548,3.852957901364812,-0.0412406838372551,0.7899719429905279,0.008575418669128065,0.0244104602342185,-0.13922594638291608,0.22343261655531466,0.0016529442500707037,0,local_cumulative_not_worse
rs_accel_v3a,base_alpha_v3_rs_crowding_mini4__rel_strength_accel_5d_v3a,21,0.0503246349244137,0.01422031268790741,0.7737831763830008,3.426785182368099,-0.0547036002114028,0.7821734095179368,-0.0053904642673363095,0.010444577297754123,-0.16178844304946327,-0.2027401024413984,-0.011809972124077,0,local_cumulative_not_worse / local_sharpe_not_worse / drawdown_not_materially_worse
rs_accel_v3b,base_alpha_v3_rs_crowding_mini4__rel_strength_accel_5d_v3b,21,0.048810376532300935,0.015300387166804354,0.6940948004339784,3.2248659535695112,-0.0615715054974027,0.7867950822047232,-0.006462583508736229,0.009372458056354204,-0.2414768189984856,-0.4046593312399862,-0.0186778774100769,0,local_cumulative_not_worse / local_sharpe_not_worse / drawdown_not_materially_worse
rs_accel_v3c,base_alpha_v3_rs_crowding_mini4__rel_strength_accel_5d_v3c,21,0.051577364137636285,0.015193406591092464,0.7585070550499953,3.394432632157156,-0.0542305423164921,0.7883032006951622,-0.0012703250512935001,0.014564716513796934,-0.17706456438246876,-0.23509265265234136,-0.0113369142291663,0,local_cumulative_not_worse / local_sharpe_not_worse / drawdown_not_materially_worse
