label,rerank_signal_column,rerank_signal_weight,score_self_case_slice,cumulative_return_after_cost,sharpe_after_cost,max_drawdown_after_cost,avg_turnover,delta_case_slice_score,delta_cumulative_return_after_cost,delta_sharpe_after_cost,delta_max_drawdown_after_cost
baseline,,0.0,-0.015835041565090434,0.935571619432464,3.6295252848094974,-0.0428936280873258,0.7612811507926904,0.0,0.0,0.0,0.0
signal_w005,rel_strength_accel_5d_v2,0.05,-0.020249779953845127,0.9375356031502357,3.736500809203483,-0.0515820444106813,0.7647438644761076,-0.004414738388754693,0.0019639837177716224,0.10697552439398539,-0.0086884163233555
signal_w010,rel_strength_accel_5d_v2,0.1,-0.020249779953845127,0.8707342446681099,3.683657913279165,-0.0514225640454263,0.7768610865561248,-0.004414738388754693,-0.06483737476435414,0.05413262846966749,-0.008528935958100496
signal_w015,rel_strength_accel_5d_v2,0.15,-0.020249779953845127,0.8451207570075168,3.454620237902342,-0.0540304299609959,0.7805932819663549,-0.004414738388754693,-0.09045086242494726,-0.17490504690715536,-0.011136801873670096
signal_w020,rel_strength_accel_5d_v2,0.2,-0.020249779953845127,0.8865112287814991,3.636806203546611,-0.0413722406880774,0.77942842444597,-0.004414738388754693,-0.0490603906509649,0.007280918737113673,0.0015213873992484042
