profile_name,prediction_source,weighting_scheme,sort_strategy,top_k,enable_risk_filters,allow_cash_fallback,max_volatility_20d_pct,max_volatility_5d_pct,turnover_rate_lower_pct,turnover_rate_upper_pct,turnover_ratio_upper_pct,risk_penalty_weight,transaction_cost,max_turnover,periods,cumulative_return_before_cost,cumulative_return_after_cost,mean_period_return_before_cost,mean_period_return_after_cost,return_volatility_before_cost,return_volatility_after_cost,max_drawdown_before_cost,max_drawdown_after_cost,sharpe_before_cost,sharpe_after_cost,win_rate_before_cost,win_rate_after_cost,avg_selected_count,avg_signal_count,avg_cash_weight,avg_turnover,avg_desired_turnover,avg_execution_strength,total_transaction_cost,primary_candidate_size,grid_index,is_current_default_profile,rank_after_cost,is_best_profile
local_cs50_v2082_v592_rp16_mt65,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.82,0.92,0.03,0.97,0.95,0.16,0.001,0.65,60,0.15387936056722418,0.10983204863237206,0.0024201313859695322,0.0017701313859693959,0.008003766919401018,0.00800376691940101,-0.04331848945944339,-0.057937081614129804,2.18045025382271,1.594823922458361,0.5333333333333333,0.5166666666666667,5.0,5.0,0.007998897682958353,0.650000000000136,1.6101938552230037,0.41595353149351894,0.03900000000000818,50,348,False,32,False
local_cs50_v2082_v596_rp16_mt65,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.82,0.96,0.03,0.97,0.95,0.16,0.001,0.65,60,0.15386029534166834,0.10981369897679438,0.0024198626288992942,0.0017698626288991574,0.008004683486820489,0.008004683486820482,-0.04332911587316324,-0.05796398163075511,2.179958471172754,1.5943991963030426,0.5333333333333333,0.5166666666666667,5.0,5.0,0.007998457067107377,0.6500000000001366,1.6102176461916942,0.41594936013172196,0.039000000000008195,50,388,False,33,False
local_cs45_v2082_v594_rp18_mt60,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.18,0.001,0.6,60,0.15023679623683428,0.10964479014327422,0.002363655313706692,0.0017636553137066631,0.007528445014578515,0.007528445014578512,-0.039189157388659024,-0.05257850476884118,2.264021431939627,1.6893129068486432,0.5333333333333333,0.5166666666666667,5.0,5.0,0.010341802547436935,0.6000000000000287,1.6221590069307668,0.3805984434934032,0.036000000000001725,45,51,False,34,False
local_cs45_v2082_v596_rp18_mt60,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.82,0.96,0.03,0.97,0.95,0.18,0.001,0.6,60,0.15017306412988018,0.10958327015844138,0.0023627338472970356,0.001762733847297007,0.007529001592257039,0.007529001592257036,-0.039204472368547294,-0.05259686951299569,2.2629715061993916,1.688305466148795,0.5333333333333333,0.5166666666666667,5.0,5.0,0.010341822621483409,0.6000000000000291,1.6221822755041582,0.38059210740691113,0.036000000000001725,45,71,False,35,False
local_cs60_v2082_v594_rp20_mt65,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,0.65,60,0.15355616813768003,0.10952097092746094,0.0024158774197657476,0.0017658774197656468,0.008049585573155847,0.008049585573155863,-0.04880502357577132,-0.06338077207896786,2.164228166292058,1.581935250028754,0.5666666666666667,0.5333333333333333,5.0,5.0,0.008024311121009622,0.6500000000001013,1.585315715656206,0.4222906352291537,0.03900000000000607,60,1016,False,36,False
local_cs60_v2082_v596_rp20_mt65,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.82,0.96,0.03,0.97,0.95,0.2,0.001,0.65,60,0.15351180745001636,0.10947827579970504,0.0024152385160275953,0.0017652385160274939,0.00805002914709116,0.008050029147091176,-0.04881220503259609,-0.06338979329081396,2.1635365917053204,1.5812757610352046,0.5666666666666667,0.5333333333333333,5.0,5.0,0.008024316755857111,0.6500000000001014,1.5853335991418822,0.4222852386075323,0.03900000000000608,60,1036,False,37,False
local_cs60_v2082_v592_rp20_mt65,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.82,0.92,0.03,0.97,0.95,0.2,0.001,0.65,60,0.15350296600100477,0.10946976655773533,0.0024151053954202593,0.001765105395420158,0.008049392007032192,0.008049392007032205,-0.04881718071318275,-0.06338193311510709,2.1635885868721747,1.5812816680379267,0.5666666666666667,0.5333333333333333,5.0,5.0,0.00802459554134861,0.6500000000001013,1.5853106102621182,0.42229073538993167,0.03900000000000608,60,996,False,38,False
local_cs55_v2084_v596_rp22_mt65,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.84,0.96,0.03,0.97,0.95,0.22,0.001,0.65,60,0.15341784060716268,0.1093877620130177,0.0024156509494138445,0.001765650949413744,0.008271135703891014,0.008271135703891045,-0.049287593818867936,-0.06382407325429373,2.1060598383454234,1.5393641842166996,0.5666666666666667,0.5333333333333333,5.0,5.0,0.008033340424051183,0.6500000000001002,1.5815709099948687,0.4232543034022012,0.03900000000000601,55,800,False,39,False
local_cs55_v2082_v594_rp22_mt55,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.22,0.001,0.55,60,0.14652546948537304,0.10938000498096301,0.002306387103432555,0.001756387103432555,0.007068893609658707,0.007068893609658707,-0.04058851606735758,-0.05276102901678903,2.3527860006642367,1.791721338778361,0.55,0.5333333333333333,5.0,5.0,0.013343088133029635,0.5499999999999999,1.6136695669643462,0.3499846157295311,0.03300000000000001,55,698,False,40,False
local_cs55_v2082_v596_rp22_mt55,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.82,0.96,0.03,0.97,0.95,0.22,0.001,0.55,60,0.14648188234940007,0.10933780672791804,0.0023057550337066014,0.0017557550337066008,0.007069318875805901,0.0070693188758059015,-0.0405988020473349,-0.05277311559246034,2.351999718428492,1.7909688082818251,0.55,0.5333333333333333,5.0,5.0,0.013343124545285655,0.5499999999999999,1.6136879663211974,0.3499802294183232,0.03300000000000001,55,718,False,41,False
