date,true_top5_return,candidate_pool_true_top5_return,model_top5_equal_return,model_top5_weighted_return,model_top5_hit_rate,model_top10_hit_rate,worst_stock_return_in_model_top5,best_missed_stock_return,weight_strategy_gain,max_single_weight,max_single_contribution_ratio
2025-11-26,0.1275718526078961,0.08723875989362981,0.00929721266981386,0.008367491402832473,0.0,0.0,-0.0017152658662093,0.1475308641975309,-0.0009297212669813863,0.18,0.5639541280966858
2025-11-27,0.1393439481382312,0.12499961717917049,0.00290574584463096,0.0026151712601678637,0.0,0.0,-0.0429629629629629,0.1656508489333914,-0.00029057458446309645,0.18,0.41263737209242973
2025-11-28,0.12084683819745352,0.06328490070802044,-0.0089982449053877,-0.00809842041484893,0.0,0.0,-0.0415686274509803,0.2213011011264397,0.0008998244905387698,0.18,0.5048248816424813
2025-12-01,0.13637990239696934,0.12737305095968793,0.02230838502416672,0.020077546521750048,0.0,0.0,-0.0181782256471053,0.2539432176656151,-0.002230838502416673,0.18,0.43679981888157426
2025-12-02,0.17016795038327004,0.07984736110543199,0.03620563300159384,0.03258506970143445,0.0,0.0,0.0074993535040083,0.4390243902439026,-0.0036205633001593837,0.18,0.3231711435999547
2025-12-03,0.1978212100383299,0.11348920087089916,0.026722329817078116,0.024050096835370304,0.0,0.0,-0.0164609053497942,0.402044893642026,-0.0026722329817078123,0.18,0.3766197487020606
2025-12-04,0.13962962476567872,0.09837294199093191,0.02768202820127364,0.024913825381146275,0.0,0.1,-0.016649323621228,0.1969532100108813,-0.002768202820127366,0.18,0.4625640781631895
2025-12-05,0.10109874364543728,0.08783278763901939,-0.00959227833560758,-0.00863305050204682,0.0,0.0,-0.0498981670061101,0.1116442738323735,0.0009592278335607586,0.18,0.42795597424291526
2025-12-08,0.10133184528452607,0.07959908044356662,-0.0009212133772939793,-0.0008290920395645817,0.0,0.0,-0.038341968911917,0.1412535079513564,9.212133772939764e-05,0.18,0.5319520181892761
2025-12-09,0.08983381985280459,0.08290104631559791,0.01174939507503898,0.010574455567535081,0.0,0.0,-0.0007087172218283,0.1074108818011257,-0.0011749395075038981,0.18,0.3297072056325753
2025-12-10,0.06776790346826583,0.04668859974531002,-0.0118419050116745,-0.010657714510507049,0.0,0.0,-0.0457894736842105,0.0788954635108481,0.0011841905011674512,0.18,0.7733464107180109
2025-12-11,0.11692415875986381,0.09463563727664558,-0.01087422379496886,-0.009786801415471974,0.0,0.0,-0.0225151015925314,0.1465165521871612,0.0010874223794968864,0.18,0.3004592082434586
2025-12-12,0.11255069982845203,0.08796334281376944,-0.01915829253989124,-0.017242463285902114,0.0,0.0,-0.0430832356389213,0.1469556567718967,0.0019158292539891257,0.18,0.44976070335301277
2025-12-15,0.10125560624645624,0.09224375751189809,0.0019700784829998997,0.00177307063469991,0.0,0.0,-0.0092864125122189,0.1063218390804598,-0.00019700784829998963,0.18,0.36093603651382034
2025-12-16,0.16117985265964924,0.13191460952691264,0.03662429872380526,0.03296186885142473,0.0,0.0,0.0100950987564008,0.2086021505376344,-0.0036624298723805307,0.18,0.44866602589874327
2025-12-17,0.12504859591383286,0.11979273091177496,0.009667734025776779,0.008700960623199102,0.0,0.0,-0.0057034220532318,0.1466850828729282,-0.0009667734025776767,0.18,0.8341814455682355
2025-12-18,0.16714937383706963,0.1331603344774647,0.002362027233913779,0.0021258245105224022,0.0,0.0,-0.0169902912621359,0.2416107382550335,-0.00023620272339137677,0.18,0.5392892702713149
2025-12-19,0.13165019649722626,0.07027447318051654,-0.01818814219425368,-0.01636932797482831,0.0,0.0,-0.0510849909584087,0.1586885245901639,0.0018188142194253687,0.18,0.5617395159198654
2025-12-22,0.13421316529220198,0.0673782049837086,-0.00175278000072956,-0.0015775020006566038,0.0,0.0,-0.0089086859688196,0.1841672539346958,0.00017527800007295625,0.18,0.39242617958494347
2025-12-23,0.12473062966178657,0.11666234390114232,-0.00023586572911006012,-0.0002122791561990538,0.0,0.0,-0.0039164490861618,0.2494614390348988,2.3586572911006316e-05,0.18,0.25026115826906875
2025-12-24,0.18987609373302983,0.17212220528617567,0.00854960958046534,0.007694648622418807,0.0,0.0,-0.0133897110641296,0.3137734311328443,-0.0008549609580465337,0.18,0.7218524280277215
2025-12-25,0.22201511925585363,0.14301684863336567,0.01225350564329842,0.01102815507896858,0.0,0.0,-0.0176036342986939,0.4236893203883497,-0.0012253505643298399,0.18,0.7100628794473786
2025-12-26,0.20133057544117858,0.10655194796797987,0.029541529279078903,0.02658737635117101,0.0,0.1,-0.0049677098857426,0.4122218297421405,-0.0029541529279078944,0.18,0.535534531529698
2025-12-29,0.2894930431692956,0.20822552637430336,0.07929726018309101,0.07136753416478192,0.0,0.1,0.0131868131868132,0.5344827586206896,-0.007929726018309088,0.18,0.3235996149394957
2025-12-30,0.21623914726001942,0.14130665361674233,0.08743085717058904,0.07868777145353012,0.0,0.2,0.0425396825396825,0.316377171215881,-0.008743085717058924,0.18,0.3109087474189338
2025-12-31,0.18652378598778963,0.15826567627261584,0.04494991566421294,0.04045492409779164,0.0,0.0,0.0008539709649871,0.2277686852154936,-0.0044949915664213025,0.18,0.5037052706194151
2026-01-05,0.2689862895198708,0.14649677546823406,0.0328409276094631,0.02955683484851679,0.0,0.0,-0.003720930232558,0.3351749539594844,-0.0032840927609463083,0.18,0.3416628350574155
2026-01-06,0.33691780599820464,0.17369628010862653,-0.028382024838152043,-0.02554382235433684,0.0,0.0,-0.0553686934023285,0.5688032272523532,0.0028382024838152047,0.18,0.2198609548025103
2026-01-07,0.2808762133463573,0.1829446589490381,0.01979846642209402,0.01781861977988462,0.0,0.0,-0.0138530171401737,0.4062078272604588,-0.0019798466422094006,0.18,0.48229662647563615
2026-01-08,0.29788535061278887,0.2020477342655687,-0.00637315094682048,-0.005735835852138433,0.0,0.0,-0.0438250096786683,0.3744414655942806,0.0006373150946820472,0.18,0.37485787060788284
2026-01-09,0.15755084491155572,0.13618587880112948,0.024859733080451456,0.022373759772406313,0.0,0.0,-0.0095155709342561,0.1816782140107774,-0.002485973308045144,0.18,0.5055792122417117
2026-01-12,0.14529327042293896,0.11410147179906176,-0.0027066619219110826,-0.00243599572971997,0.0,0.1,-0.0431617264690588,0.1872265966754155,0.00027066619219111255,0.18,0.4088851158657769
2026-01-13,0.1647205858535194,0.1289493852221711,-0.010782291992877762,-0.009704062793589983,0.0,0.1,-0.0360545214714933,0.2466900671223596,0.001078229199287779,0.18,0.32597984091401333
2026-01-14,0.17852480851780173,0.15670909130646524,0.03706865855966654,0.033361792703699884,0.0,0.0,-0.0130684788290642,0.1979913916786227,-0.0037068658559666554,0.18,0.5658293545470218
2026-01-15,0.24527348206655902,0.24527348206655902,0.03925492411805792,0.03532943170625213,0.0,0.2,-0.0213987473903966,0.3357619914996965,-0.0039254924118057935,0.18,0.5018609003981501
2026-01-16,0.2308852624620191,0.21898035398255536,0.03144823618910412,0.028303412570193708,0.0,0.0,-0.0461670340435953,0.2828547763666484,-0.0031448236189104105,0.18,0.4727947604254683
2026-01-19,0.20747854666234353,0.20331678287494737,0.0335230806914101,0.03017077262226909,0.2,0.3,-0.0483271375464684,0.2496676415846849,-0.0033523080691410106,0.18,0.7337129572415041
2026-01-20,0.17294700588895293,0.17294700588895293,0.04058907236385072,0.03653016512746564,0.0,0.0,0.0044762757385854,0.2491694352159469,-0.004058907236385079,0.18,0.4613174676830451
2026-01-21,0.20240448854267715,0.20240448854267715,0.011098337215812378,0.009988503494231141,0.0,0.0,-0.0624317284261826,0.2569105691056911,-0.0011098337215812368,0.18,0.3914021370099372
2026-01-22,0.2712506837972778,0.2712506837972778,0.008855911232108559,0.007970320108897703,0.0,0.1,-0.0401996118658164,0.4113924050632911,-0.0008855911232108563,0.18,0.2788178114413218
2026-01-23,0.16289600838473658,0.14318032630711103,0.0483080895071609,0.04347728055644481,0.2,0.1,-0.0196390931057528,0.2054794520547944,-0.004830808950716095,0.18,0.6096778744935806
2026-01-26,0.15462156307458258,0.13510582336522772,-0.02858331102025846,-0.025724979918232613,0.0,0.0,-0.0946629213483145,0.2640688259109313,0.0028583311020258483,0.18,0.41902117038880926
2026-01-27,0.1131455874893372,0.05449068376305634,-0.027479406752465657,-0.024731466077219093,0.0,0.0,-0.0853521126760564,0.1666666666666667,0.0027479406752465643,0.18,0.5308682665891162
2026-01-28,0.1643260728797188,0.09813182627228476,-0.022896210731914602,-0.020606589658723137,0.0,0.0,-0.0720164609053497,0.242054794520548,0.0022896210731914654,0.18,0.3598133774900329
2026-01-29,0.17283008649131695,0.10152425694681835,0.005509654570687803,0.004958689113619021,0.0,0.2,-0.0510673922143155,0.254359197907585,-0.0005509654570687817,0.18,0.35603946337452114
2026-01-30,0.15552889455832677,0.12979838937021435,-0.054181689805365196,-0.048763520824828675,0.0,0.0,-0.0950226244343891,0.187207488299532,0.005418168980536521,0.18,0.35075548501988485
2026-02-02,0.1969827002918895,0.17687677028638224,0.0321529981310073,0.028937698317906574,0.0,0.1,0.0009445493943771,0.4044585987261145,-0.0032152998131007235,0.18,0.34833454579773965
2026-02-03,0.142684472446507,0.11706527633054171,0.000932265770599719,0.0008390391935397482,0.0,0.0,-0.0357507660878447,0.2191977077363897,-9.322657705997074e-05,0.18,0.4611085407155741
2026-02-04,0.17722738237705493,0.10934012487607274,0.02419563985760676,0.02177607587184608,0.0,0.0,-0.0080482897384305,0.3824152542372884,-0.002419563985760681,0.18,0.2764409477982737
2026-02-05,0.20858803830840644,0.1710803003278185,0.09539946608464792,0.08585951947618312,0.2,0.1,0.035902354803127,0.2354651162790697,-0.0095399466084648,0.18,0.4622411716275432
2026-02-06,0.19027342720341858,0.12668242459821866,0.005994953925982299,0.005395458533384068,0.0,0.0,-0.0206851119894598,0.2388059701492537,-0.0005994953925982311,0.18,0.5643409505993103
2026-02-09,0.1804153482987689,0.11754262911089312,0.0016761877905294611,0.0015085690114765146,0.0,0.0,-0.0246472584390069,0.2133333333333334,-0.00016761877905294652,0.18,0.5280949393989055
2026-02-10,0.18984816060369417,0.12753073394760492,0.011468975967811898,0.010322078371030708,0.0,0.0,-0.02375,0.2284170153417013,-0.0011468975967811896,0.18,0.4839930565805625
2026-02-11,0.16783128835324881,0.1435856865368681,0.022613949200969354,0.020352554280872417,0.0,0.2,-0.034090909090909,0.1769934640522877,-0.002261394920096936,0.18,0.5454469774868632
2026-02-12,0.2242262687247512,0.17247600085811426,0.024371491269749038,0.021934342142774135,0.0,0.0,-0.0127226463104325,0.279607843137255,-0.0024371491269749024,0.18,0.49602473800310415
