model_family,backend,feature_set,feature_count,target_mode,rmse_mean,mae_mean,rank_ic_mean,top5_mean_return_mean,rmse_std,mae_std,rank_ic_std,top5_mean_return_std,profile_name,prediction_source,weighting_scheme,sort_strategy,top_k,enable_risk_filters,allow_cash_fallback,max_volatility_20d_pct,max_volatility_5d_pct,turnover_rate_lower_pct,turnover_rate_upper_pct,turnover_ratio_upper_pct,risk_penalty_weight,transaction_cost,max_turnover,periods,cumulative_return_before_cost,cumulative_return_after_cost,mean_period_return_before_cost,mean_period_return_after_cost,return_volatility_before_cost,return_volatility_after_cost,max_drawdown_before_cost,max_drawdown_after_cost,sharpe_before_cost,sharpe_after_cost,win_rate_before_cost,win_rate_after_cost,avg_selected_count,avg_signal_count,avg_cash_weight,avg_turnover,avg_desired_turnover,avg_execution_strength,total_transaction_cost
lightgbm,lightgbm,base_technical_risk,45,cross_section_rank,0.49912483147573505,0.4961112194726674,-0.028079520883123987,-0.0009439015887825042,0.004915464734502179,0.0051048971716200365,0.027168992203367468,0.004600046223513203,model_lightgbm,walk_forward_lightgbm,risk_adjusted,risk_adjusted,5,True,False,0.9,0.9,0.03,0.97,0.95,0.25,0.001,0.5,60,0.07178586171234635,0.0401372900754251,0.0011805304899672236,0.0006805304899672234,0.006998920077562504,0.0069989200775625055,-0.05533459136252561,-0.0675355058125312,1.2163199941291054,0.7011617646441234,0.45,0.45,5.0,5.0,0.01889485548411353,0.5,1.6463912771529647,0.3105924077735314,0.030000000000000002
xgboost,xgboost,base_technical_risk,45,cross_section_rank,0.4987902960109978,0.495697101110586,-0.02416423224851337,-0.005002248968016885,0.0046719218721412836,0.004866032768543028,0.026563846296872477,0.003350690671741141,model_xgboost,walk_forward_xgboost,risk_adjusted,risk_adjusted,5,True,False,0.9,0.9,0.03,0.97,0.95,0.25,0.001,0.5,60,0.0007496428351339013,-0.028834557008785566,3.506071903111965e-05,-0.0004649392809688804,0.006730886476038376,0.006730886476038376,-0.06765301275399138,-0.08324637225192777,0.03756213113127456,-0.49811044161223766,0.45,0.38333333333333336,5.0,5.0,0.017594110721516835,0.5,1.6773197319584396,0.30641444446394334,0.030000000000000002
