profile_name,fold_id,rmse,mae,rank_ic,top5_mean_return,validation_days,validation_rows,prediction_mean,prediction_std,target_mean,target_std,avg_daily_pred_std,avg_daily_target_std,avg_day_rank_ic,negative_day_rank_ic_ratio,avg_volatility_20d,avg_volatility_5d,avg_turnover_rate,avg_turnover_ratio_10d,avg_amplitude_ratio_5d,avg_initial_candidates,avg_after_primary_screen,avg_after_risk_filters,avg_after_secondary_screen,fallback_day_ratio,avg_selected_count,avg_selected_pred_return,avg_selected_target_return,avg_selected_weighted_target_return,avg_selected_volatility_20d,avg_selected_volatility_5d,avg_selected_turnover_rate,sequence_length,risk_penalty_weight,sort_strategy,primary_candidate_size
sl20__risk_adjusted__cs160__rp-25,1,0.5163875343405422,0.5136862738171093,-0.033492236853097226,0.004074555502322908,20,6000,0.5175105946016666,0.039617486501816665,0.00382432078455745,0.034769262878015614,0.03884448997395947,0.03334763471889757,-0.033492236853097226,0.65,0.017506072221953405,0.016092614429510644,1.13744445,-0.00906624864614165,-0.017927496683157584,300.0,160.0,139.85,139.85,0.0,5.0,0.5741773226,0.004014068913032378,0.004014246898657602,0.015770463642693033,0.012117463395118046,1.0155929999999997,20,-0.25,risk_adjusted,160
sl20__risk_adjusted__cs160__rp-25,2,0.5187347950384458,0.5150170062530954,0.11894604612263202,0.015188776438936003,20,6000,0.5236994830866667,0.03919412770644478,0.008742283105528903,0.05196924749630539,0.03775058246533048,0.04999884096380906,0.11894604612263202,0.1,0.017899382657047026,0.01773704111798699,1.6062402833333331,0.12021615633603326,0.03351811416269945,300.0,160.0,121.45,121.45,0.0,5.0,0.591888345,0.02308156784308473,0.023087188460507828,0.023334499489078106,0.022479438848280943,2.000502,20,-0.25,risk_adjusted,160
sl20__risk_adjusted__cs160__rp-25,3,0.514780262304585,0.511748269645055,-0.0015075476364599355,0.003244139174538214,20,6000,0.5107218840666667,0.025201603206066837,-0.0010263855783883473,0.05005292639943766,0.024913334579904856,0.047649535780264325,-0.0015075476364599355,0.45,0.022802931994138093,0.02131994554951272,1.5496310666666668,-0.04801795117019615,-0.007454451456272461,300.0,160.0,127.8,127.8,0.0,5.0,0.5644840688,0.01640555412716992,0.016321434448317084,0.027942882632932403,0.02986759769205082,1.83818,20,-0.25,risk_adjusted,160
sl20__risk_adjusted__cs180__rp-25,1,0.5163875343405422,0.5136862738171093,-0.033492236853097226,0.004074555502322908,20,6000,0.5175105946016666,0.039617486501816665,0.00382432078455745,0.034769262878015614,0.03884448997395947,0.03334763471889757,-0.033492236853097226,0.65,0.017506072221953405,0.016092614429510644,1.13744445,-0.00906624864614165,-0.017927496683157584,300.0,180.0,157.3,157.3,0.0,5.0,0.5738932067,0.003536085953834036,0.003539907129924956,0.0158069930596678,0.012201151280262338,1.0269549999999998,20,-0.25,risk_adjusted,180
sl20__risk_adjusted__cs180__rp-25,2,0.5187347950384458,0.5150170062530954,0.11894604612263202,0.015188776438936003,20,6000,0.5236994830866667,0.03919412770644478,0.008742283105528903,0.05196924749630539,0.03775058246533048,0.04999884096380906,0.11894604612263202,0.1,0.017899382657047026,0.01773704111798699,1.6062402833333331,0.12021615633603326,0.03351811416269945,300.0,180.0,138.4,138.4,0.0,5.0,0.5913989102000001,0.02326345448759814,0.023274382333433326,0.023509985022081178,0.023114689167690963,2.0375190000000005,20,-0.25,risk_adjusted,180
sl20__risk_adjusted__cs180__rp-25,3,0.514780262304585,0.511748269645055,-0.0015075476364599355,0.003244139174538214,20,6000,0.5107218840666667,0.025201603206066837,-0.0010263855783883473,0.05005292639943766,0.024913334579904856,0.047649535780264325,-0.0015075476364599355,0.45,0.022802931994138093,0.02131994554951272,1.5496310666666668,-0.04801795117019615,-0.007454451456272461,300.0,180.0,144.2,144.2,0.0,5.0,0.5640830126,0.019364934130061785,0.01922347191798165,0.02804981774481883,0.03033943575461816,1.8839350000000004,20,-0.25,risk_adjusted,180
sl20__risk_adjusted__cs200__rp-25,1,0.5163875343405422,0.5136862738171093,-0.033492236853097226,0.004074555502322908,20,6000,0.5175105946016666,0.039617486501816665,0.00382432078455745,0.034769262878015614,0.03884448997395947,0.03334763471889757,-0.033492236853097226,0.65,0.017506072221953405,0.016092614429510644,1.13744445,-0.00906624864614165,-0.017927496683157584,300.0,200.0,173.75,173.75,0.0,5.0,0.5733888986,0.004890861603489944,0.004874785580886154,0.016230283919576906,0.012455644893889084,1.051622,20,-0.25,risk_adjusted,200
sl20__risk_adjusted__cs200__rp-25,2,0.5187347950384458,0.5150170062530954,0.11894604612263202,0.015188776438936003,20,6000,0.5236994830866667,0.03919412770644478,0.008742283105528903,0.05196924749630539,0.03775058246533048,0.04999884096380906,0.11894604612263202,0.1,0.017899382657047026,0.01773704111798699,1.6062402833333331,0.12021615633603326,0.03351811416269945,300.0,200.0,154.5,154.5,0.0,5.0,0.5909681612000001,0.023128020431554618,0.02314966697979652,0.023471020144739164,0.023091744478791646,2.0226750000000004,20,-0.25,risk_adjusted,200
sl20__risk_adjusted__cs200__rp-25,3,0.514780262304585,0.511748269645055,-0.0015075476364599355,0.003244139174538214,20,6000,0.5107218840666667,0.025201603206066837,-0.0010263855783883473,0.05005292639943766,0.024913334579904856,0.047649535780264325,-0.0015075476364599355,0.45,0.022802931994138093,0.02131994554951272,1.5496310666666668,-0.04801795117019615,-0.007454451456272461,300.0,200.0,160.75,160.75,0.0,5.0,0.5636874421,0.01864275870755181,0.01856282299837261,0.028289423812791224,0.030561905997603472,1.9061510000000002,20,-0.25,risk_adjusted,200
sl20__risk_adjusted__cs160__rp-30,1,0.5163875343405422,0.5136862738171093,-0.033492236853097226,0.004074555502322908,20,6000,0.5175105946016666,0.039617486501816665,0.00382432078455745,0.034769262878015614,0.03884448997395947,0.03334763471889757,-0.033492236853097226,0.65,0.017506072221953405,0.016092614429510644,1.13744445,-0.00906624864614165,-0.017927496683157584,300.0,160.0,139.85,139.85,0.0,5.0,0.5731548332999998,0.004423437308101171,0.004438781356846071,0.016264880494457522,0.01258964146800547,1.019881,20,-0.3,risk_adjusted,160
