profile_name,prediction_source,weighting_scheme,sort_strategy,top_k,enable_risk_filters,allow_cash_fallback,max_volatility_20d_pct,max_volatility_5d_pct,turnover_rate_lower_pct,turnover_rate_upper_pct,turnover_ratio_upper_pct,risk_penalty_weight,transaction_cost,max_turnover,periods,cumulative_return_before_cost,cumulative_return_after_cost,mean_period_return_before_cost,mean_period_return_after_cost,return_volatility_before_cost,return_volatility_after_cost,max_drawdown_before_cost,max_drawdown_after_cost,sharpe_before_cost,sharpe_after_cost,win_rate_before_cost,win_rate_after_cost,avg_selected_count,avg_signal_count,avg_cash_weight,avg_turnover,avg_desired_turnover,avg_execution_strength,total_transaction_cost,candidate_size,vol20_pct,vol5_pct,risk_penalty,rank_ic_mean,top5_mean_return_mean
lstm_exec_cs40_v2086_v596_rp10_mt82,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.86,0.96,0.03,0.97,0.95,0.1,0.001,0.82,60,0.9406090349569582,0.8601261102620643,0.01137284234797097,0.010658965260934052,0.023185152904834094,0.023163520548403323,-0.03964675201765511,-0.043849998729056816,3.537209040776091,3.3182732919531293,0.6,0.5666666666666667,5.0,5.0,0.0030000000000000265,0.7138770870369157,1.0409580789222395,0.7649366182421609,0.04283262522221495,40,0.86,0.96,0.1,0.00858413563307822,0.017534048047474538
lstm_exec_cs40_v2086_v596_rp10_mt80,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.86,0.96,0.03,0.97,0.95,0.1,0.001,0.8,60,0.9226512871631294,0.8441553414974963,0.011210360059310937,0.010507945252115784,0.022924208184523013,0.02290288230049761,-0.03934653682044964,-0.043532749089147615,3.526361973762552,3.308486234105885,0.6,0.5666666666666667,5.0,5.0,0.0033333333333333587,0.7024148071951515,1.0475302187667017,0.752133244927221,0.042144888431709104,40,0.86,0.96,0.1,0.00858413563307822,0.017534048047474538
lstm_exec_cs40_v2086_v598_rp10_mt82,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.86,0.98,0.03,0.97,0.95,0.1,0.001,0.82,60,0.9129438548235378,0.8332672693096279,0.011130091300698973,0.010413317387612515,0.023147468282774232,0.02312862768588895,-0.043738489100710654,-0.04811714088613206,3.467343762611798,3.246690663936343,0.6,0.5666666666666667,5.0,5.0,0.0030000000000000265,0.7167739130864544,1.0516621472487795,0.7599083344960513,0.043006434785187266,40,0.86,0.98,0.1,0.00858413563307822,0.017534048047474538
lstm_exec_cs40_v2086_v599_rp10_mt82,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.86,0.99,0.03,0.97,0.95,0.1,0.001,0.82,60,0.9129438548235378,0.8332672693096279,0.011130091300698973,0.010413317387612515,0.023147468282774232,0.02312862768588895,-0.043738489100710654,-0.04811714088613206,3.467343762611798,3.246690663936343,0.6,0.5666666666666667,5.0,5.0,0.0030000000000000265,0.7167739130864544,1.0516621472487795,0.7599083344960513,0.043006434785187266,40,0.86,0.99,0.1,0.00858413563307822,0.017534048047474538
lstm_exec_cs40_v2086_v596_rp10_mt78,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.86,0.96,0.03,0.97,0.95,0.1,0.001,0.78,60,0.9036507978721839,0.8272106959876879,0.011036288841437286,0.01034580767439979,0.022617648190943702,0.022597212501423318,-0.03905438127809846,-0.04309387921996333,3.5186598511658,3.301499249412975,0.6,0.5666666666666667,5.0,5.0,0.003666666666666692,0.6904811670374958,1.0548417893903266,0.7381231900028717,0.041428870022249764,40,0.86,0.96,0.1,0.00858413563307822,0.017534048047474538
lstm_exec_cs40_v2086_v598_rp10_mt80,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.86,0.98,0.03,0.97,0.95,0.1,0.001,0.8,60,0.8961957341646876,0.8185036283305638,0.010976274047899323,0.010271517636396896,0.022893345395442563,0.02287437516323906,-0.043300867949565,-0.04763516327340733,3.457381890645313,3.238076078631345,0.6,0.5666666666666667,5.0,5.0,0.0033333333333333587,0.7047564115024263,1.0581500488818933,0.7467625831050848,0.042285384690145596,40,0.86,0.98,0.1,0.00858413563307822,0.017534048047474538
lstm_exec_cs40_v2086_v599_rp10_mt80,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.86,0.99,0.03,0.97,0.95,0.1,0.001,0.8,60,0.8961957341646876,0.8185036283305638,0.010976274047899323,0.010271517636396896,0.022893345395442563,0.02287437516323906,-0.043300867949565,-0.04763516327340733,3.457381890645313,3.238076078631345,0.6,0.5666666666666667,5.0,5.0,0.0033333333333333587,0.7047564115024263,1.0581500488818933,0.7467625831050848,0.042285384690145596,40,0.86,0.99,0.1,0.00858413563307822,0.017534048047474538
lstm_exec_cs50_v2086_v596_rp10_mt82,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.86,0.96,0.03,0.97,0.95,0.1,0.001,0.82,60,0.8966334476703468,0.818065775638847,0.010975210137277676,0.010262460346629624,0.022670828899291794,0.022649516647191666,-0.041249626379197935,-0.04544674065752208,3.490978039200234,3.2673392168637685,0.5833333333333334,0.5666666666666667,5.0,5.0,0.0030000000000000213,0.7127497906480527,1.0534368126307947,0.7598162099556587,0.04276498743888316,50,0.86,0.96,0.1,0.00858413563307822,0.017534048047474538
lstm_exec_cs40_v2086_v596_rp10_mt76,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.86,0.96,0.03,0.97,0.95,0.1,0.001,0.76,60,0.8835415884346789,0.8092322505615277,0.010850098396826989,0.010172074215374562,0.022281137436712395,0.022261586680748027,-0.03877013791038175,-0.04255945283877638,3.5115430013129183,3.294997404032814,0.6,0.5833333333333334,5.0,5.0,0.004000000000000022,0.6780241814524259,1.063184830444311,0.7224984060667683,0.04068145088714556,40,0.86,0.96,0.1,0.00858413563307822,0.017534048047474538
lstm_exec_cs45_v2086_v596_rp10_mt82,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.86,0.96,0.03,0.97,0.95,0.1,0.001,0.82,60,0.885826720938063,0.8072753955266316,0.010878235401874757,0.010161581337506097,0.022638682196001972,0.022619378532028802,-0.04071913100064961,-0.044660735588855194,3.465045817459616,3.239532200258907,0.5833333333333334,0.5666666666666667,5.0,5.0,0.0030000000000000265,0.7166540643686601,1.058290668610242,0.7555568467030103,0.04299924386211961,45,0.86,0.96,0.1,0.00858413563307822,0.017534048047474538
lstm_exec_cs40_v2086_v598_rp10_mt78,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.86,0.98,0.03,0.97,0.95,0.1,0.001,0.78,60,0.8784538381869513,0.8028133534463389,0.010811337264740586,0.010119071919078956,0.02259364147957438,0.02257513321647017,-0.04274131066273612,-0.04702612746214829,3.450601878373357,3.2323027567100846,0.6,0.5666666666666667,5.0,5.0,0.0036666666666666883,0.69226534566163,1.0653691307883946,0.7324121254714147,0.041535920739697814,40,0.86,0.98,0.1,0.00858413563307822,0.017534048047474538
lstm_exec_cs40_v2086_v599_rp10_mt78,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.86,0.99,0.03,0.97,0.95,0.1,0.001,0.78,60,0.8784538381869513,0.8028133534463389,0.010811337264740586,0.010119071919078956,0.02259364147957438,0.02257513321647017,-0.04274131066273612,-0.04702612746214829,3.450601878373357,3.2323027567100846,0.6,0.5666666666666667,5.0,5.0,0.0036666666666666883,0.69226534566163,1.0653691307883946,0.7324121254714147,0.041535920739697814,40,0.86,0.99,0.1,0.00858413563307822,0.017534048047474538
lstm_exec_cs50_v2086_v596_rp10_mt80,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.86,0.96,0.03,0.97,0.95,0.1,0.001,0.8,60,0.8784093281802003,0.8018102325458307,0.010807171859093767,0.010105887605593524,0.022423379407008587,0.022402540972750976,-0.04113709694867784,-0.04533974760726711,3.4754629597477193,3.252960991377135,0.5833333333333334,0.5666666666666667,5.0,5.0,0.0033333333333333565,0.7012842535002423,1.060077910723916,0.7471952257273113,0.042077055210014556,50,0.86,0.96,0.1,0.00858413563307822,0.017534048047474538
lstm_exec_cs40_v2084_v596_rp10_mt82,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.84,0.96,0.03,0.97,0.95,0.1,0.001,0.82,60,0.8751158292264469,0.7966799612859907,0.010769255393210674,0.010049332421241739,0.022021473552836374,0.021990256588812207,-0.03964675201765511,-0.043849998729056816,3.5264763209986905,3.2954034149291296,0.6,0.5666666666666667,5.0,5.0,0.003000000000076236,0.7199229719689365,1.068558791923601,0.7533814102934031,0.043195378318136204,40,0.84,0.96,0.1,0.00858413563307822,0.017534048047474538
lstm_exec_cs45_v2086_v596_rp10_mt80,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.86,0.96,0.03,0.97,0.95,0.1,0.001,0.8,60,0.8684168836538813,0.7918502814941633,0.010716541181703525,0.010011833240406987,0.022387522505892328,0.022368314110910986,-0.04039289151433323,-0.044239698757823964,3.4518369521311554,3.2276172384465878,0.5833333333333334,0.5666666666666667,5.0,5.0,0.0033333333333333604,0.7047079412965377,1.0651683771293572,0.7422303280167841,0.04228247647779228,45,0.86,0.96,0.1,0.00858413563307822,0.017534048047474538
