profile_name,fold_id,date,day_rank_ic,candidate_count,prediction_mean,prediction_std,target_mean,target_std,avg_volatility_20d,avg_volatility_5d,avg_turnover_rate,avg_turnover_ratio_10d,avg_amplitude_ratio_5d,selected_count,selected_pred_return_mean,selected_target_return_mean,selected_weighted_target_return,selected_volatility_20d_mean,selected_volatility_5d_mean,selected_turnover_rate_mean,filter_initial_candidates,filter_after_primary_screen,filter_after_risk_filters,filter_after_secondary_screen,filter_fallback_used,sequence_length,risk_penalty_weight,sort_strategy,primary_candidate_size
sl20__pure_prediction__cs120__rp-20,1,2025-11-26,-0.10591511862962646,300,0.5259081864333334,0.03520209765756556,0.00871248038623854,0.031059058737763434,0.01911507154056696,0.018701012800123654,1.1424560000000001,-0.09702693589271977,-0.12757548712361397,5,0.5828339220000001,-0.0005242071422457796,-0.00046521426866351747,0.007903004431830141,0.00622891716748842,0.29858,300,120,96,96,0,20,-0.2,pure_prediction,120
sl20__pure_prediction__cs120__rp-20,1,2025-11-27,-0.09600439116989709,300,0.5313566928333334,0.03412351332876996,0.006520541589028746,0.035966486693302074,0.018761714780250502,0.0187267133033879,1.0946293333333335,-0.10221509459272082,-0.10279976250371897,5,0.586953422,-0.00898120314520048,-0.008892989816912965,0.0102973545655272,0.008638292162207298,0.64818,300,120,100,100,0,20,-0.2,pure_prediction,120
sl20__pure_prediction__cs120__rp-20,1,2025-11-28,-0.02361996496873892,300,0.52570704,0.034968617412769486,-0.0024013733862022447,0.033944920706592704,0.018009944409587524,0.013327795217730948,0.956631,-0.16405738453017676,-0.1222449036174351,5,0.581538816,-0.010073373569081421,-0.010085442594776572,0.00914339447368524,0.0050334087708459995,0.65426,300,120,103,103,0,20,-0.2,pure_prediction,120
sl20__pure_prediction__cs120__rp-20,1,2025-12-01,-0.04506477301392021,300,0.5133730175000001,0.04147486238699339,0.00038376468407220283,0.038252830783501904,0.01834038186217192,0.013839782209492899,1.3700813333333335,0.16998198524121147,0.12580044530885143,5,0.571956554,0.006601198590317841,0.006703661111835291,0.0196657075548132,0.01217280892087574,1.2898999999999998,300,120,98,98,0,20,-0.2,pure_prediction,120
sl20__pure_prediction__cs120__rp-20,1,2025-12-02,-0.003458751214226022,300,0.5175215510999999,0.03919753967809371,0.005661202111109214,0.03992151511444516,0.018100374163062437,0.014492318122117277,1.0516143333333332,-0.11185102750213266,-0.06256847749070583,5,0.57270436,0.006752456902102262,0.006964481939231084,0.02004030965501128,0.01262056921642454,1.1007200000000004,300,120,98,98,0,20,-0.2,pure_prediction,120
sl20__pure_prediction__cs120__rp-20,1,2025-12-03,0.20662585876062353,300,0.5251256825,0.03896916653653254,0.0013027612796860308,0.04338956684538926,0.018080796727540205,0.0145874845342174,1.0333456666666665,-0.09348647969508539,0.058180799332410625,5,0.5864751960000001,0.03380330572782696,0.033820689936111405,0.02265378272383572,0.0149433397301029,1.45362,300,120,104,104,0,20,-0.2,pure_prediction,120
sl20__pure_prediction__cs120__rp-20,1,2025-12-04,-0.10958868492719595,300,0.5248773302333334,0.03944765978951541,0.00828145668724565,0.034708132070079,0.017528733269125296,0.01459138847816717,0.9536159999999999,-0.15933976437850308,-0.04315944584139579,5,0.5819770940000001,0.008076103979019759,0.008031269555430013,0.01513720565839138,0.0118398601391985,0.62468,300,120,99,99,0,20,-0.2,pure_prediction,120
sl20__pure_prediction__cs120__rp-20,1,2025-12-05,0.050298803452844876,300,0.5101591348666666,0.042668077992253514,-0.010352760226929434,0.030426012903726467,0.017632443961958996,0.015720058461574312,1.136266,0.05930147019919658,0.10098138877690864,5,0.572919498,-0.00509973594627142,-0.005063301758213814,0.010570075727277362,0.0093730468675869,0.61626,300,120,102,102,0,20,-0.2,pure_prediction,120
sl20__pure_prediction__cs120__rp-20,1,2025-12-08,0.09314694788223313,300,0.5078993318333334,0.04377946225095241,-0.010410610970843498,0.030725295697685166,0.017131356302736607,0.014569927823218662,1.3106679999999997,0.18464006400761648,0.014389834697719817,5,0.577730304,-0.00491606928282,-0.004860462397892985,0.009031058907849039,0.00795501324619276,0.47240000000000004,300,120,104,104,0,20,-0.2,pure_prediction,120
sl20__pure_prediction__cs120__rp-20,1,2025-12-09,0.22866444552967757,300,0.5118383459999999,0.04436925130813857,-0.003435043734788855,0.03266527133140459,0.017293466318454756,0.015384440718267918,1.2065886666666665,0.08159133576899794,0.04719848155822513,5,0.581458834,0.0106699906085377,0.010687407934942907,0.0108147101018627,0.00954363813988298,0.43310000000000004,300,120,111,111,0,20,-0.2,pure_prediction,120
