profile_name,fold_id,rmse,mae,rank_ic,top5_mean_return,validation_days,validation_rows,prediction_mean,prediction_std,target_mean,target_std,avg_daily_pred_std,avg_daily_target_std,avg_day_rank_ic,negative_day_rank_ic_ratio,avg_volatility_20d,avg_volatility_5d,avg_turnover_rate,avg_turnover_ratio_10d,avg_amplitude_ratio_5d,avg_initial_candidates,avg_after_primary_screen,avg_after_risk_filters,avg_after_secondary_screen,fallback_day_ratio,avg_selected_count,avg_selected_pred_return,avg_selected_target_return,avg_selected_weighted_target_return,avg_selected_volatility_20d,avg_selected_volatility_5d,avg_selected_turnover_rate,sequence_length,risk_penalty_weight,sort_strategy,primary_candidate_size
sl20__pure_prediction__cs120__rp-20,1,0.5163875343405422,0.5136862738171093,-0.033492236853097226,0.004074555502322908,20,6000,0.5175105946016666,0.039617486501816665,0.00382432078455745,0.034769262878015614,0.03884448997395947,0.03334763471889757,-0.033492236853097226,0.65,0.017506072221953405,0.016092614429510644,1.13744445,-0.00906624864614165,-0.017927496683157584,300.0,120.0,104.75,104.75,0.0,5.0,0.5799788282,0.004035298610986401,0.004072985436134124,0.010518431229378759,0.007970347717257027,0.7513110000000001,20,-0.2,pure_prediction,120
sl20__pure_prediction__cs120__rp-20,2,0.5187347950384458,0.5150170062530954,0.11894604612263202,0.015188776438936003,20,6000,0.5236994830866667,0.03919412770644478,0.008742283105528903,0.05196924749630539,0.03775058246533048,0.04999884096380906,0.11894604612263202,0.1,0.017899382657047026,0.01773704111798699,1.6062402833333331,0.12021615633603326,0.03351811416269945,300.0,120.0,88.4,88.4,0.0,5.0,0.5944265645,0.027969815715928093,0.02794164427575933,0.022284366912631675,0.0191899649887831,1.7770169999999996,20,-0.2,pure_prediction,120
sl20__pure_prediction__cs120__rp-20,3,0.514780262304585,0.511748269645055,-0.0015075476364599355,0.003244139174538214,20,6000,0.5107218840666667,0.025201603206066837,-0.0010263855783883473,0.05005292639943766,0.024913334579904856,0.047649535780264325,-0.0015075476364599355,0.45,0.022802931994138093,0.02131994554951272,1.5496310666666668,-0.04801795117019615,-0.007454451456272461,300.0,120.0,94.9,94.9,0.0,5.0,0.5685950467,0.007336651086578434,0.007451549760591263,0.023390053529881504,0.024142371633227862,1.397847,20,-0.2,pure_prediction,120
sl20__pure_prediction__cs150__rp-20,1,0.5163875343405422,0.5136862738171093,-0.033492236853097226,0.004074555502322908,20,6000,0.5175105946016666,0.039617486501816665,0.00382432078455745,0.034769262878015614,0.03884448997395947,0.03334763471889757,-0.033492236853097226,0.65,0.017506072221953405,0.016092614429510644,1.13744445,-0.00906624864614165,-0.017927496683157584,300.0,150.0,131.3,131.3,0.0,5.0,0.5799788282,0.004035298610986401,0.004072985436134124,0.010518431229378759,0.007970347717257027,0.7513110000000001,20,-0.2,pure_prediction,150
sl20__pure_prediction__cs150__rp-20,2,0.5187347950384458,0.5150170062530954,0.11894604612263202,0.015188776438936003,20,6000,0.5236994830866667,0.03919412770644478,0.008742283105528903,0.05196924749630539,0.03775058246533048,0.04999884096380906,0.11894604612263202,0.1,0.017899382657047026,0.01773704111798699,1.6062402833333331,0.12021615633603326,0.03351811416269945,300.0,150.0,113.5,113.5,0.0,5.0,0.5944265645,0.027969815715928093,0.02794164427575933,0.022284366912631675,0.0191899649887831,1.7770169999999996,20,-0.2,pure_prediction,150
sl20__pure_prediction__cs150__rp-20,3,0.514780262304585,0.511748269645055,-0.0015075476364599355,0.003244139174538214,20,6000,0.5107218840666667,0.025201603206066837,-0.0010263855783883473,0.05005292639943766,0.024913334579904856,0.047649535780264325,-0.0015075476364599355,0.45,0.022802931994138093,0.02131994554951272,1.5496310666666668,-0.04801795117019615,-0.007454451456272461,300.0,150.0,119.65,119.65,0.0,5.0,0.5685950467,0.007336651086578434,0.007451549760591263,0.023390053529881504,0.024142371633227862,1.397847,20,-0.2,pure_prediction,150
sl20__pure_prediction__cs180__rp-20,1,0.5163875343405422,0.5136862738171093,-0.033492236853097226,0.004074555502322908,20,6000,0.5175105946016666,0.039617486501816665,0.00382432078455745,0.034769262878015614,0.03884448997395947,0.03334763471889757,-0.033492236853097226,0.65,0.017506072221953405,0.016092614429510644,1.13744445,-0.00906624864614165,-0.017927496683157584,300.0,180.0,157.3,157.3,0.0,5.0,0.5799788282,0.004035298610986401,0.004072985436134124,0.010518431229378759,0.007970347717257027,0.7513110000000001,20,-0.2,pure_prediction,180
sl20__pure_prediction__cs180__rp-20,2,0.5187347950384458,0.5150170062530954,0.11894604612263202,0.015188776438936003,20,6000,0.5236994830866667,0.03919412770644478,0.008742283105528903,0.05196924749630539,0.03775058246533048,0.04999884096380906,0.11894604612263202,0.1,0.017899382657047026,0.01773704111798699,1.6062402833333331,0.12021615633603326,0.03351811416269945,300.0,180.0,138.4,138.4,0.0,5.0,0.5944265645,0.027969815715928093,0.02794164427575933,0.022284366912631675,0.0191899649887831,1.7770169999999996,20,-0.2,pure_prediction,180
sl20__pure_prediction__cs180__rp-20,3,0.514780262304585,0.511748269645055,-0.0015075476364599355,0.003244139174538214,20,6000,0.5107218840666667,0.025201603206066837,-0.0010263855783883473,0.05005292639943766,0.024913334579904856,0.047649535780264325,-0.0015075476364599355,0.45,0.022802931994138093,0.02131994554951272,1.5496310666666668,-0.04801795117019615,-0.007454451456272461,300.0,180.0,144.2,144.2,0.0,5.0,0.5685950467,0.007336651086578434,0.007451549760591263,0.023390053529881504,0.024142371633227862,1.397847,20,-0.2,pure_prediction,180
sl20__risk_adjusted__cs120__rp-20,1,0.5163875343405422,0.5136862738171093,-0.033492236853097226,0.004074555502322908,20,6000,0.5175105946016666,0.039617486501816665,0.00382432078455745,0.034769262878015614,0.03884448997395947,0.03334763471889757,-0.033492236853097226,0.65,0.017506072221953405,0.016092614429510644,1.13744445,-0.00906624864614165,-0.017927496683157584,300.0,120.0,104.75,104.75,0.0,5.0,0.5774288917,0.003000201037262695,0.003016176968113522,0.013721936814690961,0.01057771881223241,0.967623,20,-0.2,risk_adjusted,120
