profile_name,fold_id,rmse,mae,rank_ic,top5_mean_return,validation_days,validation_rows,prediction_mean,prediction_std,target_mean,target_std,avg_daily_pred_std,avg_daily_target_std,avg_day_rank_ic,negative_day_rank_ic_ratio,avg_volatility_20d,avg_volatility_5d,avg_turnover_rate,avg_turnover_ratio_10d,avg_amplitude_ratio_5d,avg_initial_candidates,avg_after_primary_screen,avg_after_risk_filters,avg_after_secondary_screen,fallback_day_ratio,avg_selected_count,avg_selected_pred_return,avg_selected_target_return,avg_selected_weighted_target_return,avg_selected_volatility_20d,avg_selected_volatility_5d,avg_selected_turnover_rate,train_rows,valid_rows,train_sequence_rows,valid_sequence_rows,train_date_start,train_date_end,valid_date_start,valid_date_end
walk_forward_default,1,0.4993819590940784,0.49705252894625207,-0.037243914656121285,0.003644570177619332,20,6000,0.5008768439292908,0.033311620354652405,0.00382432078455745,0.034769262878015614,0.03246964495629072,0.03334763471889757,-0.037243914656121285,0.65,0.017506072221953405,0.016092614429510644,1.13744445,-0.00906624864614165,-0.017927496683157584,300.0,180.0,151.5,151.5,0.0,5.0,0.5547207891941071,0.005027196981029631,0.004901189183745312,0.014105205607652277,0.01264417075665836,0.713713,137090,6000,131390,6000,2024-01-02,2025-11-25,2025-11-26,2025-12-23
walk_forward_default,2,0.4932017122563302,0.4890010867417966,0.02577108756679321,0.015249817559014184,20,6000,0.49764347076416016,0.03867326304316521,0.008742283105528903,0.05196924749630539,0.037910149432718754,0.04999884096380906,0.02577108756679321,0.35,0.017899382657047026,0.01773704111798699,1.6062402833333331,0.12021615633603326,0.03351811416269945,300.0,180.0,156.75,156.75,0.0,5.0,0.5616314232349395,0.02849978763902523,0.028640894517405906,0.021948965820325194,0.01767215267720367,1.776481,143090,6000,137390,6000,2024-01-02,2025-12-23,2025-12-24,2026-01-22
walk_forward_default,3,0.4968390485758883,0.49220313396342036,0.017337252451639404,0.011343751421823717,20,6000,0.4911767542362213,0.0445285364985466,-0.0010263855783883473,0.05005292639943766,0.04245277140289545,0.047649535780264325,0.017337252451639404,0.25,0.022802931994138093,0.02131994554951272,1.5496310666666668,-0.04801795117019615,-0.007454451456272461,300.0,180.0,154.85,154.85,0.0,5.0,0.5708503097295761,0.01026043568703677,0.010232981673095332,0.027746918901605612,0.028444449992396474,1.8714600000000001,149090,6000,143390,6000,2024-01-02,2026-01-22,2026-01-23,2026-02-27
